able|способный|['eIbl]|
tap|затычка, пробка|[txp]|
taste|вкус|[teIst]|
tax|налог|[txks]|
taxi|такси|['txksI]|
tea|чай|[ti:]|
teach|учить|[ti:tS]|
tear|дыра, рвать|[tFq]|
telegraph|телеграф|['telIgrQ:f]|
telephone|телефон|['telIfqun]|
tell|рассказать|[tel]|
temper|характер, настроение|['tempq]|
temperature|температура|['temprItSq]|
temple|храм, висок|['templ]|
tempt|искушать|[tempt]|
ten|десять|[ten]|
tend|иметь тенденцию|[tend]|
tender|нежный|['tendq]|
tent|палатка|[tent]|
term|срок, семестр|[tq:m]|
terrible|ужасный|['terqbl]|
test|проверка|[test]|
than|чем|[Dxn]|
thank|благодарить|[TxNk]|
the|определенный артикль|[Di:]|
theatre|театр|['TIqtq]|
then|тогда|[Den]|
theory|теория|['TIqrI]|
there|там|[DFq]|
therefore|поэтому|['DFqfO:]|
they|они|[DeI]|
thick|толстый|[TIk]|
thief|вор|[Ti:f]|
thin|тонкий|[TIn]|
thing|вещь|[TIN]|
think|думать|[TINk]|
thirst|жажда|[Tq:st]|
thirteen|тринадцать|['Tq:'ti:n]|
thirty|тридцать|['Tq:tI]|
this|этот|[DIs]|
thorn|шип|[TO:n]|
thorough|тщательный|['TArq]|
though|хотя, несмотря на|[Dqu]|
thousand|тысяча|['Tauzqnd]|
thread|нить|[Tred]|
threat|угроза|[Tret]|
three|три|[Tri:]|
throat|горло|[Trqut]|
through|через|[Tru:]|
throw|бросать|[Trqu]|
thumb|большой палец|[TAm]|
thunder|гром|['TAndq]|
Thursday|четверг|['Tq:zdI]|
thus|таким образом|[DAs]|
ticket|билет|['tIkIt]|
tide|прилив или отлив|[taId]|
tidy|опрятный|['taIdI]|
tie|узел галстука|[taI]|
tight|тугой|[taIt]|
till|до|[tIl]|
time|время|[taIm]|
tin|олово, консервная банка|[tIn]|
tip|носок|[tIp]|
tire|шина, головной убор|['taIq]|
title|название|['taItl]|
to|к|[tu:]|
tobacco|табак|[tq'bxkqu]|
today|сегодня|[tq'deI]|
toe|палец ноги|[tqu]|
together|вместе|[tq'geDq]|
tomorrow|завтра|[tq'mOrqu]|
ton|тонна|[tO:N]|
tongue|язык|[tAN]|
tonight|сегодня вечером|[tq'naIt]|
too|очень, также|[tu:]|
tool|инструмент|[tu:l]|
tooth|зуб|[tu:T]|
top|верхушка|[top]|
total|итог|['tqutl]|
touch|прикосновение|[tAtS]|
tough|жесткий|[tAf]|
tour|путешествие|[tuq]|
toward|грядущий, предстоящий|[tq'wO:d]|
towel|полотенце|['tauql]|
tower|башня|['tauq]|
town|город|[taun]|
toy|игрушка|[tOI]|
track|трек|[trxk]|
trade|торговля|[treId]|
train|поезд|[treIn]|
translate|переводить|[trxns'leIt]|
transport|перевозка|[trxns'pO:t]|
trap|капкан|[trxp]|
travel|путешествие|['trxvl]|
tray|поднос|[treI]|
treasure|сокровище|['treZq]|
treat|обращаться|[tri:t]|
tree|дерево|[tri:]|
tremble|дрожать|['trembl]|
tribe|племя|[traIb]|
trick|трюк|[trIk]|
trip|поездка|[trIp]|
trouble|трудность|['trAbl]|
true|истинный|[tru:]|
trunk|ствол|[trANk]|
trust|вера|[trAst]|
try|стараться|[traI]|
tube|трубка, тюбик|[tju:b]|
Tuesday|вторник|['tju:zdI]|
tune|мелодия, настраивать|[tju:n]|
turn|поворот|[tq:n]|
twelve|двенадцать|[twelv]|
twenty|двадцать|['twentI]|
twist|изгиб|[twIst]|
two|два|[tu:]|
type|тип, печатать|[taIp]|
typical|типичный|['tIpIkql]|
ugly|уродливый|['AglI]|
umbrella|зонтик|[Am'brelq]|
uncle|дядя|['ANkl]|
under|под|['Andq]|
undergo|испытывать|[,Andq'gqu]|
understand|понимать|[,Andq'stxnd]|
undertake|предпринимать|[Andq'teIk]|
union|союз|['ju:njqn]|
unite|объединять|[ju:'naIt]|
universe|вселенная|['ju:nIvq:s]|
university|университет|[,ju:nI'vq:sItI]|
unless|пока не|[qn'les]|
until|пока|[qn'tIl]|
up|вверх|[Ap]|
upon|на поверхности|[q'pOn]|
upper|верхний|['Apq]|
upright|вертикально|['Ap'raIt]|
upset|опрокидывать|[Ap'set]|
upwards|вверх|['Apwqdz]|
urge|понуждать|[q:dZ]|
use|использование|[ju:z]|
usual|обычный|['ju:Zuql]|
vain|тщетный|[veIn]|
valley|долина|['vxlI]|
value|ценность, величина|['vxlju:]|
variety|разнообразие|[vq'raIqtI]|
various|разнообразный|['vFqrIqs]|
veil|вуаль|[veIl]|
verb|глагол|[vq:b]|
verse|стихотворение|[vq:s]|
very|очень|['verI]|
vessel|сосуд, судно|['vesl]|
victory|победа|['vIkt(q)rI]|
view|вид|[vju:]|
village|деревня|['vIlIdZ]|
violent|неистовый|['vaIqlqnt]|
virtue|добродетель|['vq:tju:]|
visit|визит|['vIzIt]|
voice|голос|['vOIs]|
vote|голосование|[vqut]|
vowel|гласный|['vauql]|
voyage|вояж|['vOIIdZ]|
wage|заработная плата|[weIdZ]|
waist|талия|[weIst]|
wait|ждать|[weIt]|
wake|будить, просыпаться|[weIk]|
walk|прогулка|[wO:k]|
wall|стена|[wO:l]|
wander|бродить|['wOndq]|
want|недостаток, хотеть|[wOnt]|
war|война|[wO:]|
warm|теплый|[wO:m]|
warn|предупреждать|[wO:n]|
wash|мытьё|[wOS]|
waste|расточительство|[weIst]|
watch|часы|[wOtS]|
water|вода|['wO:tq]|
wave|волна|[weIv]|
wax|воск|[wxks]|
way|путь|[weI]|
we|мы|[wi:]|
weak|слабый|[wi:k]|
wealth|богатство|[welT]|
weapon|оружие|['wepqn]|
wear|носить|[wFq]|
weather|погода|['weDq]|
weave|ткать|[wi:v]|
Wednesday|среда|['wenzdI]|
weed|сорняк|[wi:d]|
week|неделя|[wi:k]|
weigh|взвешивать|[weI]|
welcome|добро пожаловать!|['welkqm]|
well|хорошо|[wel]|
west|запад|[west]|
western|западный|['westqn]|
wet|мокрый|[wet]|
what|какой|[wOt]|
wheat|пшеница|[wi:t]|
wheel|колесо|[wi:l]|
when|когда|[wen]|
where|где|[wFq]|
whether|ли|['weDq]|
which|который|[wItS]|
while|пока|[waIl]|
whip|кнут|[wIp]|
whisper|шептать|['wIspq]|
whistle|свистеть|['wIsl]|
white|белый|[waIt]|
who|кто|[hu:]|
whole|целое|[hqul]|
why|почему|[waI]|
wicked|злобный|['wIkId]|
wide|широкий|[waId]|
widow|вдова|['wIdqu]|
wife|жена|[waIf]|
wild|дикий|[waIld]|
will|желать|[wIl]|
win|выиграть|[wIn]|
wind|ветер|[wInd]|
window|окно, витрина|['wIndqu]|
wine|вино|[waIn]|
wing|крыло|[wIN]|
winter|зима|['wIntq]|
wipe|вытирать|[waIp]|
wire|проволока|['waIq]|
wise|мудрый|[waIz]|
wish|желать|[wIS]|
with|с|[wID]|
within|внутри|[wI'DIn]|
without|без|[wI'Daut]|
witness|очевидец|['wItnIs]|
woman|женщина|['wumqn]|
wonder|удивляться|['wAndq]|
wood|дерево|[wud]|
wool|шерсть|[wul]|
word|слово|[wq:d]|
work|работа|[wq:k]|
world|мир|[wq:ld]|
worm|червяк|[wq:m]|
worry|беспокоиться|['wArI]|
worse|худший, хуже|[wq:s]|
worship|культ|['wq:SIp]|
worth|цена стоимость, ценный достойный|[wq:T]|
would|бы|[wud]|
wound|рана|[waund]|
wrap|завертывать|[rxp]|
wreck|крушение|[rek]|
wrist|запястье|[rIst]|
write|писать|[raIt]|
wrong|неправильный|[rON]|
yard|ярд, двор|[jQ:d]|
year|год|[jq:]|
yellow|желтый|['jelqu]|
yes|да|[jes]|
yesterday|вчера|['jestqdI]|
yet|пока, еще|[jet]|
yield|урожай, доходность|[ji:ld]|
you|ты, вы|[ju:]|
young|молодой|[jAN]|
youth|молодость|[ju:T]|
zero|ноль, ничто|['zIqrqu]|
