African|африканец, африканский|'xfrIkqn
parliament|парламент|'pQ:lqmqnt
parliamentary|парламентский|,pQ:lq'mentqrI
part|разделять, часть|pQ:t
participate|участвовать|pQ:'tIsIpeIt
participation|участие|pQ:,tIsI'peISqn
particular|особый|pq'tIkjulq
particularly|особенно|pq'tIkjulqlI
partly|частично|'pQ:tlI
partner|участник|'pQ:tnq
party|партия|'pQ:tI
pass|проход, проходить|pQ:s
passage|переход|'pxsIdZ
passenger|пассажир|'pxsIndZq
past|прошлое, прошлый|pQ:st
patient|пациент|'peISqnt
patriotic|патриотический|,pxtrI'OtIk
pattern|модель|'pxtqn
pay|плата, платить|peI
payment|платеж|'peImqnt
peace|мир|pi:s
peaceful|мирный|'pi:sful
peak|пик, вершина|pi:k
penalty|штраф, наказание|'penltI
pending|во время, в течение|'pendIN
pension|пенсия|'penSqn
pensioner|пенсионер|'penSqnq
people|нация, люди|'pi:pl
per|в, на, с|pq:
percentage|процент|pq'sentIdZ
perform|исполнять|pq'fO:m
performance|исполнение|pq'fO:mqns
perhaps|возможно|pq'hxps
period|период|'pIqrIqd
permanent|постоянный|'pq:mqnqnt
permission|разрешение|pq'mISqn
permit|разрешать, разрешение|'pq:mIt
person|человек|'pq:sn
personal|личный|'pq:snl
personality|индивидуальность|,pq:sq'nxlItI
personnel|персонал|,pq:sq'nel
persuade|убеждать|pq'sweId
petition|петиция|pI'tISqn
petrol|бензин|'petrql
philosophy|философия|fI'lOsqfI
phrase|фраза|freIz
pianist|пианист|'pIqnIst
pick|выбирать|pIk
picket|пикет, пикетировать|'pIkIt
picture|картина|'pIktSq
piece|кусок|pi:s
pilot|пилот|'paIlqt
pink|розовый|pINk
pit|яма, шахта|pIt
place|место, помещать|pleIs
plan|план, планировать|plxn
plane|самолет|pleIn
planned|плановый|plxnd
planning|планирование|
plant|завод, установка|plQ:nt
plastic|пластмасса, пластичный|'plxstIk
plate|плита|pleIt
play|игра, играть|pleI
player|музыкант|'pleIq
playing|игра|'pleIN
plead|выступать в суде|pli:d
please|угождать|pli:z
pleased|довольный|pli:zd
pledge|залог, обязательство, закладывать|pledZ
plenty|множество|'plentI
plot|заговор|plOt
plus|плюс|plAs
poet|поэт|'pquIt
point|пункт, точка, указывать|pOInt
pole|полюс|pqul
police|полиция|pq'li:s
policeman|полицейский|pq'li:smqn
policy|политика, курс|'pOlIsI
political|политический|pq'lItIkql
politically|политически|pq'lItIkqlI
politics|политика|'pOlItIks
poll|список избирателей|pOl
poor|бедный|puq
popular|народный|'pOpjulq
population|население|,pOpju'leISqn
port|порт|pO:t
portrait|портрет|'pO:trIt
position|положение|pq'zISqn
positive|положительный|'pOzqtIv
possess|обладать|pq'zes
possibility|вероятность|,pOsq'bIlItI
possible|вероятный|'pOsqbl
possibly|возможно|'pOsqblI
post|столб, почта|pqust
postal|почтовый|'pqustql
poster|плакат|'pqustq
postman|почтальон|'pqustmqn
postpone|отсрочивать|peust'pqun
potential|потенциал, потенциальный|pqu'tenSql
pound|фунт|paund
poverty|бедность|'pOvqtI
power|сила|'pauq
powerful|сильный|'pauqful
practical|практический|'prxktIkql
practice|практика|'prxktIs
practitioner|практикующий врач|prxk'tISnq
praise|похвала, хвалить|preIz
predict|предсказывать|prI'dIkt
prefer|предпочитать|prI'fq:
preference|предпочтение|'prefqrqns
premier|министр|'premjq
premium|премия|'pri:mjqm
preparation|приготовление|,prepq'reISqn
prepare|подготавливать|prI'pFq
prescription|распоряжение|prIs'krIpSqn
presence|присутствие|'prezns
present|подарок|prI'zent
preserve|сохранять|prI'zq:v
president|президент|'prezIdqnt
press|пресса, навязывать|pres
pressure|давление|'preSq
prestige|престиж|pres'ti:Z
pretty|привлекательный|'prItI
prevail|торжествовать|prI'veIl
prevent|предотвращать, препятствовать|prI'vent
previous|предшествующий|'pri:vjqs
previously|предварительно|'pri:vjqslI
primarily|главным образом|'praImqrIlI
primary|первичный|'praImqrI
prime|главный|praIm
prince|принц|prIns
princess|принцесса|prIn'ses
principle|принцип, основной|'prInsqpl
print|печатать|prInt
prison|тюрьма|'prIzn
prisoner|заключенный|'prIznq
private|частный|'praIvIt
prize|приз|praIz
probably|вероятно|'prObqblI
problem|проблема|'prOblqm
procedure|процедура|prq'si:dZq
proceed|продолжать|prq'si:d
proceedings|труды, записки|
process|процесс|'prquses
procession|процессия|prq'seSqn
proclaim|провозглашать|prq'kleIm
produce|производить|'prOdju:s
producer|режиссер|prq'dju:sq
product|продукция|'prOdAkt
production|производство|prq'dAkSqn
productivity|производительность|,prOdAk'tIvItI
profession|профессия|prq'feSqn
professional|профессиональный|prq'feSqnl
professor|профессор|prq'fesq
profit|прибыль|'prOfIt
programme|программа|'prqugrxm
progress|прогресс|'prqugrqs
progressive|прогрессивный|prq'gresIv
project|проект|'prOdZekt
prominent|выдающийся|'prOmInqnt
promise|обещание, обещать|'prOmIs
promote|продвигать, повышать в должности|prq'mqut
promotion|поощрение|prq'mquSqn
prompt|побуждать|prOmpt
propaganda|пропаганда|,prOpq'gxndq
proper|присущий|'prOpq
properly|должным образом|'prOpqlI
property|собственность|'prOpqtI
proportion|пропорция|prq'pO:Sqn
proposal|предложение|prq'pquzql
propose|предлагать|prq'pquz
prosecution|судебное расследование|,prOsI'kju:Sqn
prospect|перспектива|'prOspekt
protect|защищать|prq'tekt
protection|защита|prq'tekSqn
protest|протест, протестовать|'prqutest
prove|доказывать|pru:v
provide|обеспечивать|prq'vaId
provided|при условии|prq'vaIdId
province|область, провинция|'prOvIns
provincial|провинциальный|prq'vInSql
provisional|временный|prq'vIZqnl
publication|опубликование|,pAblI'keISqn
publicity|гласность|pAb'lIsItI
publicly|публично|'pAblIklI
publish|публиковать|'pAblIS
publisher|издатель|'pAblISq
pull|тянуть|pul
punishment|наказание|'pAnISmqnt
pupil|ученик|'pju:pl
purchase|покупка, покупать|'pq:tSqs
purpose|цель|'pq:pqs
pursue|преследование|pq'sju:
push|толкать|puS
put|помещать|put
qualify|квалифицировать|'kwOlIfaI
quality|качество|'kwOlItI
quantity|количество|'kwOntItI
quarter|четверть|'kwO:tq
question|вопрос, проблема|'kwestSqn
quick|быстрый, скорый|kwIk
quickly|быстро, скоро|'kwIklI
quiet|тишина, спокойствие, тихий, спокойный|'kwaIqt
quietly|тихо, спокойно|'kwaIqtlI
quite|совершенно, вполне|kwaIt
race|гонка, участвовать в гонке|reIs
racial|расовый|'reISql
racism|расизм|'reIsIzm
racist|расист|'reIsIst
radiation|радиация|,reIdI'eISqn
radio|радио|'reIdIqu
rail|рельс|reIl
railway|железная дорога|'reIlweI
rain|дождь|reIn
raise|увеличение, поднимать|reIz
rally|митинг|'rxlI
ranch|ранчо|rQ:ntS
range|область, располагать|reIndZ
rank|ряд, чин, выстраивать|rxNk
rate|ставка, тариф|reIt
rather|лучше|'rQ:Dq
reach|достигать|ri:tS
reaction|реакция|rI(:)'xkSqn
read|изучать|ri:d
reader|читатель|'ri:dq
reading|чтение, начитанность, эрудиция|'ri:dIN
ready|готовый|'redI
reaffirm|вновь подтверждать|'ri:q'fq:m
real|реальный|reI'Q:l
realistic|реалистический|rIq'lIstIk
reality|действительность|rI(:)'xlItI
realize|реализовывать|'rIqlaIz
really|действительно|'rIqlI
reason|причина|'ri:zn
reasonable|разумный|'ri:znqbl
rebel|повстанец|rI'bel
recall|отзывать|rI'kO:l
receive|получать|rI'si:v
recent|недавний|'ri:snt
recently|недавно|'ri:sntlI
recognition|узнавание|,rekqg'nISqn
recognize|узнавать|'rekqgnaIz
recommend|рекомендовать|,rekq'mend
recommendation|рекомендация|,rekqmen'deISqn
record|записывать|rI'kO:d
recovery|выздоровление|rI'kAvqrI
recruit|вербовать, нанимать|rI'kru:t
red|красный|red
reduce|снижать|rI'dju:s
reduction|снижение|rI'dAkSqn
refer|отсылать, ссылаться|rI'fq:
reference|ссылка, упоминание|'refrqns
reflect|отражать|rI'flekt
reform|реформа, реформировать|'ri:'fO:m
refusal|отказ|rI'fju:zql
refuse|отказывать|'ri:'fju:z
regard|рассматривать|rI'gQ:d
regardless|независимо от|rI'gQ:dlIs
regime|режим|reI'Zi:m
region|область|'ri:dZqn
regional|региональный|'ri:dZqnl
register|регистрировать|'redZIstq
regular|регулярный|'regjulq
regularly|регулярно|
regulation|регулирование|,regju'leISqn
reinstatement|восстановление|'ri:In'steItmqnt
reject|отвергать|'ri:dZekt
relate|относиться, связывать|rI'leIt
relation|отношение|rI'leISqn
relationship|родство|rI'leISqnSIp
relative|относительный|'relqtIv
relatively|относительно|'relqtIvlI
release|освобождение, освобождать|rI'li:s
relief|облегчение|rI'li:f
religious|религиозный|rI'lIdZqs
remain|оставаться|rI'meIn
remarkable|замечательный|rI'mQ:kqbl
remember|помнить|rI'membq
remind|напоминать|'rImaInd
remote|отдаленный|rI'mqut
removal|перемещение|rI'mu:vql
remove|перемещать|rI'mu:v
renew|обновлять|rI'nju:
rent|арендная плата|rent
repair|ремонт, ремонтировать|rI'pFq
repeat|повторять|rI'pi:t
repeatedly|неоднократно|rI'pi:tIdlI
replace|возвращать|rI'pleIs
reply|ответ, отвечать|rI'plaI
report|доклад, сообщать|rI'pO:t
reporter|репортер|rI'pO:tq
represent|изображать|,reprI'zent
representation|изображение|,reprIzen'teISqn
representative|представитель, представляющий|,reprI'zentqtIv
republic|республика|rI'pAblIk
republican|республиканец, республиканский|rI'pAblIkqn
request|просить, просьба|rI'kwest
require|требовать|rI'kwaIq
requirement|требование|rI'kwaIqmqnt
rescue|спасение, спасать|'reskju:
research|исследование, исследовать|rI'sq:tS
reserve|резерв, сберегать|rI'zq:v
resident|резидент|'rezIdqnt
resign|уходить в отставку|'ri:'saIn
resignation|уход в отставку|,rezIg'neISqn
resistance|сопротивление|rI'zIstqns
resolution|резолюция|,rezq'lu:Sqn
resolve|решать|rI'zOlv
resort|обращение, обращаться|rI'zO:t
resource|ресурсы|rI'sO:s
respect|уважать, уважение|rIs'pekt
response|реакция, ответ|rIs'pOns
responsibility|ответственность|rIs,pOnsq'bIlItI
responsible|ответственный|rIs'pOnsqbl
rest|отдых|rest
restaurant|ресторан|'restqrO:N
restore|возвращать|rIs'tO:
restraint|сдержанность|rIs'treInt
restrict|ограничивать|rIs'trIkt
restriction|ограничение|rIs'trIkSqn
result|результат|rI'zAlt
resume|возобновлять|'rezju(:)meI
retail|пересказывать|ri:'teIl
retain|удерживать|rI'teIn
retire|удаляться|rI'taIq
retirement|отставка|rI'taIqmqnt
return|возвращение, возвращать|rI'tq:n
reveal|обнаруживать|rI'vi:l
revenue|доход|'revInju:
reverse|менять|rI'vq:s
review|обзор, рассматривать|rI'vju:
revise|пересматривать|rI'vaIz
revolution|революция, переворот|,revq'lu:Sqn
revolutionary|революционер, революционный|,revq'lu:SnqrI
reward|награда, награждать|rI'wO:d
rich|богатый|rItS
rid|освобождать|rId
ride|прогулка|raId
right|правильность, справедливый, справедливо|raIt
ring|кольцо, окружать|rIN
riot|мятеж|'raIqt
rise|вставать, увеличение|raIz
risk|риск, рисковать|rIsk
rival|соперник, соперничающий|'raIvql
river|река|'rIvq
road|дорога|rqud
robbery|грабеж|'rObqrI
rock|скала|rOk
rocket|ракета, пускать ракету|'rOkIt
rod|стержень|rOd
role|роль|rqul
roof|крыша|ru:f
room|комната|ru:m
root|корень|ru:t
round|круг, круглый, вокруг, кругом|raund
route|маршрут|ru:t
row|гребля, грести|rqu
royal|королевский|'rOIql
rugby|регби|'rAgbI
rule|правило, править|ru:l
run|бег, бежать|rAn
sabotage|саботаж, саботировать|'sxbqtQ:Z
sack|класть|sxk
safe|безопасный|seIf
safeguard|гарантия|'seIfgQ:d
safety|безопасность|'seIftI
sale|продажа|seIl
salmon|лосось|'sxmqn
satisfaction|удовлетворение|,sxtIs'fxkSqn
satisfactory|удовлетворительный|,sxtIs'fxktqrI
satisfy|удовлетворять|'sxtIsfaI
save|кроме, за исключением, спасать|seIv
saving|экономия|'seIvIN
say|говорить|seI
scale|масштаб|skeIl
scandal|скандал|'skxndl
scene|место действия|si:n
schedule|расписание, составлять расписание|'Sedju:l
scheme|проект|ski:m
school|школа|sku:l
science|наука|'saIqns
scientist|ученый|'saIqntIst
score|счет, выигрывать|skO:
screen|экран, экранировать|skri:n
sea|море|si:
seaman|моряк|'si:mqn
search|поиски, искать|sq:tS
season|время года|'si:zn
seat|сиденье|si:t
second|запасный, второй, поддерживать|'sekqnd
secret|секрет, секретный|'si:krIt
secretary|секретарь|'sekrqtrI
section|секция|'sekSqn
sector|сектор|'sektq
secure|страховать|sI'kjuq
security|безопасность|sI'kjuqrItI
see|видеть|si:
seed|источник|si:d
seek|искать|si:k
seem|казаться|si:m
seize|хватать|si:z
select|отбирать|sI'lekt
selection|отбор|sI'lekSqn
sell|торговать|sel
senate|сенат|'senIt
senator|сенатор|'senqtq
send|направлять|send
senior|старший|'si:njq
sense|чувство|sens
sensible|чувствующий|'sensqbl
sentence|приговор, приговаривать|'sentqns
sentiment|настроение|'sentImqnt
separate|отдельный|'sepqreIt
series|серия|'sIqri:z
serious|серьезный|'sIqrIqs
seriously|серьезно|
servant|служащий|'sq:vqnt
serve|служить|sq:v
service|работа, служба|'sq:vIs
session|сессия|'seSqn
set|набор, комплект, ряд, группа|set
setting|окружение|'setIN
settle|решать, поселяться|'setl
settlement|урегулирование|'setlmqnt
seven|семь|'sevn
seventh|седьмой|'sevnT
several|несколько, различный|'sevrql
severe|строгий, жестокий|sI'vIq
sex|секс|seks
sexual|сексуальный|'seksjuql
share|делить, распределять, участвовать|SFq
shareholder|акционер|'SFq,hquldq
sharp|крутой|SQ:p
sharply|резко|
she|она|Si:-
sheep|овца|Si:p
sheet|лист|Si:t
sheriff|шериф|'SerIf
shift|смена, перемещать|SIft
ship|корабль,  перевозить|SIp
shipbuilding|кораблестроение|'SIp,bIldIN
shirt|рубашка|Sq:t
shock|удар, поражать|SOk
short|короткий|SO:t
shortage|недостаток|'SO:tIdZ
shortly|вскоре|'SO:tlI
shot|выстрел|SOt
shout|крик, кричать|Saut
show|показ, показывать|Squ
shut|закрывать|SAt
side|сторона|saId
sight|зрение|saIt
sign|подписывать, признак|saIn
significance|значение|sIg'nIfIkqns
significant|значительный|sIg'nIfIkqnt
silent|молчаливый|'saIlqnt
similar|похожий|'sImIlq
simple|простой|'sImpl
simply|просто|'sImplI
since|с тех пор, с, после|sIns
sing|петь|sIN
singer|певец|'sINq
single|единственный|'sINLgl
sir|сэр|sq:
sit|сидеть|sIt
site|местоположение|saIt
situation|ситуация|,sItju'eISqn
six|шесть|sIks
size|размер|saIz
skill|мастерство|skIl
skilled|искусный|skIld
skin|кожа|skIn
sky|небо|skaI
sleep|спать|sli:p
slight|поверхностный|slaIt
slightly|слегка|'slaItlI
slip|скольжение, скользить|slIp
slogan|лозунг|'slqugqn
slow|медленный, замедлять|slqu
slowly|медленно|'sloulI
slum|трущоба|slAm
small|маленький|smO:l
smash|разбить|smxS
smoke|курение, дымить|smquk
snow|снег|snqu
so|поэтому, таким образом|squ
social|общественный|'squSql
society|общество|sq'saIqtI
soldier|солдат|'squldZq
solid|твердый|'sOlId
solidarity|солидарность|,sOlI'dxrItI
solution|решение|sq'lu:Sqn
solve|решать|sOlv
some|некоторое количество|sAm
somebody|кто-то|'sAmbqdI
someone|кто-нибудь|'sAmwAn
something|что-то|'sAmTIN
sometimes|иногда|'sAmtaImz
somewhat|кое-что|'sAmwOt
son|сын|sAn
song|песня|sON
soon|скоро|su:n
sorry|огорченный|'sOrI
sort|вид|sO:t
sound|звук, звучать|saund
source|источник|sO:s
south|к югу, южный|sauT
southern|южный|'sADqn
space|пространство, пространственный|speIs
spark|искра, искрить|spQ:k
speak|говорить|spi:k
speaker|оратор|'spi:kq
special|особый|'speSql
specific|специфический|spI'sIfIk
specifically|специфически|
speculation|размышление|,spekju'leISqn
speech|речь|spi:tS
speed|скорость|spi:d
spell|сменять|spel
spend|тратить|spend
spirit|дух|'spIrIt
spite|злость|spaIt
split|раскалывать|splIt
spokesman|представитель|'spquksmqn
sponsor|организатор|'spOnsq
sport|спорт|spO:t
spot|пятно, пачкать|spOt
spray|брызги, обрызгивать|spreI
spread|распространение, распространять|spred
spring|прыжок|sprIN
spur|стимул|spq:
spy|шпион|spaI
square|квадрат, квадратный|skwFq
stable|устойчивый|'steIbl
stadium|стадион|'steIdjqm
staff|штат|stQ:f
stage|сцена, ставить|steIdZ
stake|ставка, делать ставку|steIk
stand|ларек, стойка, стоять, находиться|stxnd
standard|стандарт, стандартный|'stxndqd
star|звезда|stQ:
start|старт, начало, отправляться, начинаться|stQ:t
state|государство, излагать|steIt
statement|высказывание|'steItmqnt
station|станция|'steISqn
statistics|статистика|stq'tIstIks
status|статус|'staeItqs
stay|оставаться|steI
steady|прочный|'stedI
steal|кража, воровать|sti:l
steel|сталь, стальной|sti:l
stem|стержень|stem
step|ступень, шагать|step
sterling|стерлинговый, фунт стерлингов|'stq:lIN
steward|стюард|stjuqd
still|однако, все еще, спокойно, тихий|stIl
stock|запас, снабжать|stOk
stone|камень, каменный|stqun
stop|остановка, останавливать|stOp
stoppage|остановка, задержка|'stOpIdZ
store|изобилие|stO:
storm|буря, гроза|stO:m
story|повесть, рассказ|'stO:rI
straight|прямо|streIt
strange|незнакомый, необычный|streIndZ
strategic|стратегический|strq'ti:dZIk
strategy|стратегия|'strxtIdZI
street|улица|stri:t
strength|сила|streNT
strengthen|усиливать|'streNTqn
stress|давление, нажим, подчеркивать|stres
stretch|вытягивание|stretS
strike|удар, ударять|straIk
strive|стараться|straIv
stroke|бросок|strquk
strong|сильный|strON
strongly|решительно|
structure|структура|'strAktSq
struggle|бороться|'strAgl
student|студент|'stju:dqnt
study|изучение, изучать|'stAdI
style|стиль|staIl
sub-committee|подкомитет|
subject|предмет, подчинять|'sAbdZIkt
submarine|подводная лодка|,sAbmq'ri:n
submit|подчиняться|sqb'mIt
subsidiary|вспомогательный|sqb'sIdjqrI
subsidy|субсидия|'sAbsIdI
substantial|прочный|sqb'stxnSql
substantially|основательно|sqb'stxnSqlI
succeed|достигать цели|sqk'si:d
success|успех|sqk'ses
successful|успешный|sqk'sesful
succession|последовательность|sqk'seSqn
such|таковой, подобный|sAtS
sudden|внезапный|'sAdn
suddenly|внезапно|'sAdnlI
suffer|страдать|'sAfq
sufficient|достаточный|sq'fISqnt
sufficiently|достаточно|
sugar|сахар|'Sugq
suggest|советовать|sq'dZest
suggestion|предложение|sq'dZestSqn
suitable|подходящий|'sju:tqbl
sum|итог, суммировать|sAm
summer|лето|'sAmq
summon|вызывать|'sAmqn
sun|солнце|sAn
supply|снабжать, снабжение|sq'plaI
support|поддержка, поддерживать|sq'pO:t
supporter|сторонник|sq'pO:tq
suppose|полагать|sq'pquz
supreme|верховный|sju(:)'pri:m
sure|уверенный|Suq
surely|несомненно|'SuqlI
surface|поверхность|'sq:fIs
surgeon|хирург|'sq:dZqn
surprise|удивление, удивлять|sq'praIz
surround|окружать|sq'raund
survey|осмотр|sq:'veI
survive|пережить|sq'vaIv
suspect|полагать|sqs'pekt
suspend|приостанавливать|sqs'pend
suspicion|подозрение|sqs'pISqn
sustain|поддерживать|sqs'teIn
sweep|сметать|swi:p
swim|плавать|swIm
swing|качание, качать|swIN
switch|махать|swItS
sympathy|сочувствие|'sImpqTI
symphony|симфония|'sImfqnI
system|система|'sIstIm
table|стол|'teIbl
tactics|тактика|'txktIks
take|захват, захватывать|teIk
taking|овладение|'teIkIN
talent|талант|'txlqnt
talk|беседа, разговаривать|tO:k
tall|высокий|tO:l
tanker|танкер|'txNkq
target|задание|'tQ:gIt
tariff|тариф|'txrIf
task|задача|tQ:sk
taste|вкус|teIst
tax|налог, облагать налогом|txks
taxation|обложение налогом|txk'seISqn
tea|чай|ti:
teach|учить|ti:tS
teacher|учитель|'ti:tSq
team|команда|ti:m
tear|разрывать|tFq
technical|технический|'teknIkql
technician|техник|tek'nISqn
technique|техника|tek'ni:k
technology|технология|tek'nOlqdZI
telephone|телефон, звонить по телефону|'telIfqun
television|телевидение|'telI,vIZqn
tell|рассказывать|tel
temperature|температура|'temprItSq
temporary|временный|'tempqrqrI
ten|десять|ten
tenant|арендатор|'tenqnt
tend|иметь тенденцию|tend
tennis|теннис|'tenIs
tension|напряжение|'tenSqn
term|период, срок|tq:m
terminal|конечный пункт|'tq:mInl
terrible|страшный|'terqbl
territory|территория|'terItqrI
test|испытание, испытывать|test
testimony|свидетельское показание|'testImqnI
textile|ткань|'tekstaIl
than|чем|Dxn
thank|благодарность, благодарить|TxNk
that|что, так как, этот, тот|Dxt
the Commons|палата общин (в Великобритании)|
the Labour Party|лейбористская партия|
theatre|театр|'TIqtq
theft|воровство|Teft
their|их, свой|DFq
theme|тема|Ti:m
themselves|себя, себе|Dqm'selvz
then|тогда, затем|Den
theory|теория|'TIqrI
there|там, туда|DFq
therefore|следовательно|'DFqfO:
they|они|DeI
thing|вещь|TIN
think|думать|TINk
thinking|размышление|'TINkIN
third|треть, третий|Tq:d
this|этот, это|DIs
thoroughly|тщательно|'TArqlI
though|однако, хотя, все же|Dqu
thought|мысль|TO:t
thousand|тысяча|'Tauzqnd
threat|угроза|Tret
threaten|угрожать|'Tretn
three|три|Tri:
through|насквозь, через, сквозь|Tru:
throughout|повсюду, через|Tru(:)'aut
throw|бросок, бросать|Trqu
thus|таким образом|DAs
ticket|квитанция|'tIkIt
tie|узел, связывать|taI
tight|тугой|taIt
time|время|taIm
title|название, называть|'taItl
to|к, в, на|tu:
today|сегодня, сегодняшний день|tq'deI
together|одновременно|tq'geDq
tomorrow|завтра, завтрашний день|tq'mOrqu
ton|тонна|tO:N
tone|тон|tqun
tonight|сегодня вечером|tq'naIt
too|слишком|tu:
toolmaker|инструментальщик|
top|верхушка|tOp
torture|пытка, пытать|'tO:tSq
total|весь, целый, сумма, итог|'tqutl
totally|полностью|
touch|прикосновение, трогать|tAtS
tough|жесткий|tAf
tour|поездка, совершать поездку|tuq
tourist|турист|'tuqrIst
tournament|турнир|'tuqnqmqnt
toward|грядущий, предстоящий|tq'wO:d
tower|башня|'tauq
town|город|taun
township|местечко|'taunSIp
track|след, курс|trxk
trade|занятие|treId
trading|коммерция|'treIdIN
traditional|традиционный|trq'dISqnl
traffic|движение|'trxfIk
trail|хвост|treIl
train|тренировать|treIn
trainer|тренер|'treInq
training|тренировка|'treInIN
transfer|передача, переносить|'trxnsfq(:)
transport|транспорт|trxns'pO:t
trap|окружать|trxp
travel|путешествие, путешествовать|'trxvl
treasure|драгоценность|'treZq
treasury|сокровищница|'trqZqrI
treat|обращаться|tri:t
treatment|обращение|'tri:tmqnt
treaty|договор|'tri:tI
tree|дерево|tri:
tremendous|ужасный|trI'mendqs
trend|направление|trend
trial|испытание|'traIql
tribunal|суд, трибунал|traI'bju:nl
tribute|дань|'trIbju:t
trip|поездка|trIp
triumph|триумф|'traIqmf
troop|войска|tru:p
trouble|беспокойство|'trAbl
truck|грузовик|trAk
true|верный|tru:
trust|доверие|trAst
truth|правда|tru:T
try|попытка, пытаться|traI
turn|поворачивать|tq:n
turnover|переворот|'tq:n,quvq
twelve|двенадцать|twelv
twentieth|двадцатый|'twentIIT
twenty|двадцать|'twentI
two|два|tu:
type|тип|taIp
unable|неспособный|'An'eIbl
unanimously|единодушно|
uncertainty|неуверенность|An'sq:tntI
under|под, у, в, на|'Andq
underground|метро|,Andq'graund
understand|понимать|,Andq'stxnd
understanding|понимание|,Andq'stxndIN
undertake|предпринимать|,Andq'teIk
unemployed|безработный|'AnIm'plOId
unemployment|безработица|'AnIm'plOImqnt
uniform|форма|'ju:nIfO:m
union|союз|'ju:njqn
unionism|профсоюзное движение|'ju:njqnIzm
unionist|член профсоюза|'ju:njqnIst
unit|единица|'ju:nIt
unite|объединять|ju:'naIt
united|соединенный|'ju'naItId
unity|единство|'ju:nItI
unknown|неизвестный|'An'nqun
unless|если не, пока не|qn'les
unlikely|маловероятный|An'laIklI
until|до, пока|qn'tIl
unusual|необычный|An'ju:Zuql
upset|опрокидывать|Ap'set
upwards|больше|'Apwqdz
urban|городской|'q:bqn
urge|понуждать|q:dZ
urgent|срочный|'q:dZqnt
urgently|срочно|
use|использование, использоваться|ju:z
useful|полезный|'ju:sful
usefully|с пользой|
usual|обычный|'ju:Zuql
valley|долина|'vxlI
valuable|ценный|'vxljuqbl
value|ценность|'vxlju:
variety|разнообразие|vq'raIqtI
various|различный|'vFqrIqs
vary|менять|'vFqrI
vast|обширный|vQ:st
vehicle|транспортное средство|'vi:Ikl
verdict|вердикт|'vq:dIkt
version|версия|'vq:Sqn
very|настоящий, очень|'verI
vessel|судно|'vesl
veteran|ветеран|'vetqrqn
vice|порок|'vaIsI
vice-president|вице-президент|'vaIs'prezIdqnt
vicious|порочный|'vISqs
victim|жертва|'vIktIm
victory|победа|'vIktqrI
view|поле зрения, вид, мнение|vju:
village|деревня, село|'vIlIdZ
violence|сила, неистовство, насилие|'vaIqlqns
visit|визит, посещать|'vIzIt
visitor|гость|'vIzItq
vital|жизненный, крайне необходимый|'vaItl
voice|голос|vOIs
volume|объем, масса|'vOljum
voluntary|добровольный|'vOlqntqrI
volunteer|доброволец|,vOlqn'tIq
vote|голосование, голосовать|vqut
voter|избиратель|'vqutq
voting|голосование|'vqutIN
wage|заработная плата|weIdZ
wait|ждать|weIt
walk|походка, ходить|wO:k
walker|скороход|'wO:kq
wall|стена|wO:l
want|нуждаться|wOnt
war|война|wO:
ward|опека|wO:d
warm|теплый, горячий|wO:m
warn|предупреждать|wO:n
warning|предупреждение|'wO:nIN
watch|наблюдать|wOtS
water|вода, водный|'wO:tq
wave|волна|weIv
way|направление|weI
we|мы|wi:
wealth|богатство|welT
weapon|оружие|'wepqn
wear|носить|wFq
weather|погода|'weDq
week|неделя|wi:k
weekend|выходные|'wi:k'end
weekly|еженедельный, еженедельно|'wi:klI
weight|вес груза|weIt
welcome|гостеприимство, приветствовать|'welkqm
welfare|благосостояние|'welfFq
well|хорошо, удачно, здоровый|wel
west|западный, к западу|west
western|западный|'westqn
what|что, то, тот|wOt
whatever|что бы ни|wOt'evq
wheel|колесо, катить|wi:l
when|когда, когда бы ни|wen
where|где, куда|wFq
whether|ли|'weDq
which|который, какой|wItS
while|в то время как, промежуток времени|waIl
white|белый|waIt
who|кто, который|hu:
whole|целый, весь, целое|hqul
whose|чей|hu:z
why|почему|waI
wide|широкий|waId
widely|широко|
widespread|распространенный|'waIdspred
widow|вдова|'wIdqu
wife|жена|waIf
wild|дикий, бурный|waIld
will|воля, завещание|wIl
win|победить, выиграть|wIn
wind|ветер|waInd
window|окно|'wIndqu
wing|крыло|wIN
winner|победитель|'wInq
winter|зима|'wIntq
wish|желание, желать|wIS
with|за, с, у, по|wID
withdraw|отнимать|wID'drO:
within|в пределах, внутри|wI'DIn
without|не считая, кроме|wI'Daut
witness|свидетель, быть свидетелем|'wItnIs
woman|женщина|'wumqn
wonder|интересоваться|'wAndq
wonderful|удивительный|'wAndqful
wood|лес, дерево|wud
word|слово|wq:d
work|работа, труд, работать|wq:k
work-force|рабочая сила|
worker|работник|'wq:kq
working|трудовой|'wq:kIN
world|мир|wq:ld
worry|беспокоить|'wArI
worth|цена, стоимость, стоящий|wq:T
wound|рана, ранить|waund
write|писать|raIt
writer|писатель|'raItq
writing|письменность|'raItIN
written|письменный, написанный|'rItn
wrong|ошибочный|rON
yard|ярд, двор|jQ:d
year|год|jq:
yesterday|вчера, вчерашний день|'jestqdI
yet|до сих пор, пока что, но, однако|jet
yield|приносить|ji:ld
you|вы, ты|ju:d
young|молодой, новый|jAN
your|ваш, твой|jO:
youth|молодость, молодежь|ju:T
zone|зона|zqun
