а именно|as follows
подмастерье|apprentice
подматрица|comp)submatrix
подмахивать|sign hurriedly
подмачивать|wet slightly
подмена|substitution
подменивать|substitute
подменять|substitute
подмерзать|freeze slightly
подметальщик|sweeper
подметание|sweeping
подметать|sweep
подметка|sole
подмечать|notice
подмешивать|add a little
подмигивать|wink
подминать|pin down
подмножество метаязыка|metasublanguage
подмножество|subset
подмога|help
подмодель|submodel
подмокать|get slightiy wet
подмораживать|freeze slightly
подмосковный|located near oscow
подмостки|bld)scaffolding;stage
подмывать|wash
подмышка|armpit
подмышник|shield
подмять|подминать
поднадзорный|under surveillance
поднебесье|heavens
подневольный|dependent
поднесение|giving
поднимать ложную тревогу|wcry wolf
поднимать на смех|whold up to ridicule
поднимать на щит|lionize
поднимать руку на|wlift a handagainst
поднимать|raise
подниматься|rise
поднимающий|raisinglifting
подновлять|renew
подноготная|inside information
подножие|foot
подножка|running board
подножный корм|pasturage
подножный|under the feet
поднормаль|subnormal
поднос|tray
подносить|carry
подносчик|carrier
подношение|giving
подныривать|dive under
поднятие|lifting
поднятый|lifted
подо|under
подобать|befit
подобающий поведение|sportsmanship
подобающий|suitable
подобие|resemblance
подобласть|subregion
подобно тому как|just as
подобно|like
подобного типа|of this sort
подобный|likesimilar
подобострастие|obsequiousness
подобострастный|obsequious
подобру-поздорову|while the going is good
подовальщица|waitress
подовник|ladle
подогреватель|heater
подогревать|warm
пододвигать|move up closer
пододеяльник|blanket cover
подозреваемый|zsuspect
подозревать|suspect
подозрение|suspicion
подозрительный|suspicious
подойник|milk pail
подокно|comp)pane
подоконник|windowsill
подол|lap
подолгу|for a long time
подольщаться|ingratiate oneself
подонок|scum
подопечный территория|trust territory
подопечный|zcharge
подопытный кролик|guinea pig
подопытный|experimental
подорожник|plantain
подорожный|along the road
подоснова|true cause
подоспеть|come
подотчетность|account ability
подотчетный сумма|imprest
подотчетный|accountable
подоходный налог|income-tax
подоходный|income
подошва|sole
подпадать|fall under
подпаивать|give too much to drink
подпаливать|singe
подпалина|dapple
подпараграф|subsection
подпараметр|subparameter
подпасок|shepherd boy
подпевала|lackey
подпевать|sing along
подпиливать|saw;file
подпирать|underset;prop up
подписавший|signedsignatory;signer
подписание|signing
подписанный|signed
подписано|signed
подписка|subscription
подписной|subscription
подписывать обязательство|bond
подписывать|sign;endorse
подписываться|sign;subscribe
подпись|signature
подплывать|swim up to
подполе|subfield
подползать|crawl up to
подполковник|lieutenant colonel
подполье|cellar
подпольный|underground
подпольщик|member of the underground
подпонятие|sunconcept
подпора|buttress
подпорка|prop
подпорный|retaining
подпорутчик|second lieutenant
подпоследовательность|subsequence
подпочва|subsoil
подпоясывать|gird
подпрограмма|subroutine
подпрограммный|subroutine
подпространство|subspace
подпроцесс|subrun
подпруга|saddle-girth
подпрыгивать|jump
подпул|subpool
подрабатывать|work up
подравнивать|level
подрагивать|quiver
подражание|imitation
подражатель|imitator
подражательный|imitative
подражать|imitate
подраздел|subsection
подразделение|subdivision
подразделять на|wsplitinto
подразделять|subdivide
подразделяться|subdevide
подразумевать|imply
подразумеваться|be meant
подразумевающий|implying
подразумевающийся|implicit
подрастать|grow
подрезанный|pruned
подрезать|cut
подрисовывать|touch up
подробнее|in detail
подробно обсуждать|thrash out
подробно описывать|detail
подробно останавливаться на|dwell at some lengthupon
подробно|in detail
подробность|detail
подробный изложение|full details
подробный отчет|minute account
подробный смета|detailed estimate
подробный|detailed
подросток|teenager
подрубать|hem
подруга|girlfriend
подружиться с|befriend
подружиться со|befriend
подружиться|befriend
подружка невесты|bridesmaid
подружка|girlfriend
подруливать|taxi up to
подрумянивать|redden
подрумяниваться|flush
подручный|zavailablehandyman
подрыв|undermining
подрывать|undermine
подрывник|blaster
подрывной работа|demolition work
подрывной|subversive
подряд|contractin a row
подрядный|subcontract
подрядчик|contractor
подряжать|hire
подсаживать|help someone into
подсаливать|salt lightly
подсвеченный|translucent
подсвечиваемый|translucent
подсвечник|candlestick
подсев|seeding
подсевать|sow
подсекать|chop off
подсемейство|subfamily
подсеть|subnet
подсиживать|lie in wait for
подсинивать|colour blue
подсистема|subsystem
подскабливать|scrape off
подсказанный|prompted
подсказка|help
подсказывать|prompt
подскакивать|jump
подскакивающий|soaring
подскочивший расходы|soaring costs
подскочивший|soaring
подслащивать|sweeten
подследственный|under investigation
подслеповатый|purblind
подслуживаться|play up to
подслушанный|overheard
подслушивание|eavesdropping
подслушивать|eavesdrop
подсматривать за|wspy on
подсматривать|spy
подсмеиваться|make fun of
подснежник|snowdrop
подсобный лифт|dumbwaiter
подсобный|subsidiary
подсовывать|put under
подсоединение|connection
подсоединять|connect
подсознание|subconscious
подсознательный|subconscious
подсолнечник|sunflower
подсолнечный|sunflower
подсолнух|sunflower
подсписок|sublist
подспорье|help
подспудный|hidden
подставка для дров|andiron
подставка для елки|christmas tree holder
подставка для книг|bookend
подставка|stand
подставлять|substitute
подставной лицо|dummy
подставной|false
подстаканник|glass holder
подстановка|substitution
подстанция|substation
подстатья|subentry
подстегивать|whip up
подстерегать|lie in wait for
подстилать|lay under
подстилка|bedding
подстраивать|adjust
подстраховывать|backstop
подстрекатель|abettor
подстрекательство|sedition
подстрекать|incite
подстреливать|wound
подстригать|clip
подстригаться|get a haircut
подстройка|turning
подстрока|substring
подстрочник|word-for-word translation
подстрочный индекс|subscript
подстрочный элемент литеры|descender
подстрочный|subscript
подступ|approach
подступать|approach
подступаться|approach
подсудимый|defendant
подсудность|jurisdiction
подсудный|within the jurisdiction
подсумок|cartridge pouch
подсушивать|dry a little
подсхема|subcircuit
подсчет|count
подсчитывать|count
подсылать|send on asecret mission
подсыпать|add a little
подсыхать|dry out a little
подтаивать|melt a little
подталкивать|nudge
подтапливать|heat slightly
подтаскивать|pull up to
подтасовка|jugging
подтасовывать карты|wstack the deck
подтасовывать|garble
подтачивать|sap
подтверждать единодушно|endorse
подтверждать получение|wacknowledge the receipt
подтверждать правильность|validate
подтверждать|confirm
подтверждающий правило|prove-the-rule
подтверждающий|confirmatory
подтверждение правильности|validation
подтверждение|acknowledgement
подтвержденный|confirmed
подтек|smudge
подтекать|flow under
подтекст|underlying theme
подтип|subrange
подтирать|wipe up
подтравливание|undercutting
подтрунивать|poke fun at
подтыкать|tuck up
подтягивать|tighten
подтяжка|suspender
подтянутый|neat
подумывать|be thinking of
подуровень|sublevel
подуть|begin to blow
подучивать|teach
подучиться|learn
подушечка для иголок|pincushion
подушечка|cushion
подушиться|put on some perfume
подушка|pillow
подушный налог|poll tax
подфайл|comp)subfile
подфарник|parking lights
подхалим|toady
подхалимничать|toady
подхалимство|toadyism
подхватывать|catch
подхлестывать|whip
подход|approach
подходить для|for
подходить к концу|wdraw to a close
подходить полностью|wcut the mustard
подходить|approach;i)suit
подходящий для|for
подходящий|suitable
подцель|subgoal
подцеплять|hook on
подцепь|subchain
подцикл|subcycle
подчас|sometimes
подчеркивание|underlining
подчеркивать снова|wstress again
подчеркивать|emphasize
подчеркнутый|underlined
подчинение|subservience
подчиненность|subordination
подчиненный|zdependent;subordinate
подчинять|subordinate
подчиняться правилам|confirm
подчиняться|complyЧ[Д]with;obey
подчистка|cleaning up
подчитчик|copy-holder
подчищать|clean up
подшивать|sew in
подшивка|hemming
подшипник|bearing
подштанники|drawers
подшучивать|make fun of
подъезд|entrance (approach)
подъездной|access
подъезжать к|wtaxito
подъезжать ко|wtaxito
подъезжать|drive up
подъем|ascent
подъемник|lift
подъемный жалюзи|venetian blinds
подъемный клещи|crampons
подъемный|lifting
подъязык|sublanguage
подыгрывать|accompany
подымать|lift
подытоживание|summing
подытоживать|sum up
подэлемент|subitem
подэтап|substep
поедание|eating
поедать|eat
поединок|duel
поедом есть|make someone's life miserable
поезд|train
поездить|travel about
поездка на санях|sleigh ride
поездка на сене|hayride
поездка туда и обратно|round trip
поездка|trip
поездной бригада|train crew
поездной|train
пожалуй|probably
пожалуйста|please
пожар|fire
пожарище|scene of fire
пожарник|firefighter
пожарный депо|fire station
пожарный колокол|fire bell
пожарный команда|fire department
пожарный кран|fire hydrant
пожарный лестница|fire escape
пожарный машина|fire truck
пожарный|zfire;fireman
пожаробезопасный|fireproof
пожатие|clasp
пожелание смерти|death wish
пожелание|wish
пожелтелый|yellowed
пожертвование|donation
пожертвованный|donated
пожива|easy money
поживиться|make money
пожизненно|for life
пожизненный|life
пожилой|elderly
пожимание|shaking
пожимать плечами|shrug
пожимать|shake
пожинать плоды|wreap the fruits
пожинать|reap
пожирать|devour
пожитки|belonging
пожить|live for a while
пожог|aeson
поза|pose
позабавиться|amuse with
позабывать|forget completely
позавчера|the day before yesterday
позади|behind
позапрошлый|before last
позволение|permition
позволительный|permissible
позволять себе|afford
позволять|allow
позвонок|vertebra
позвоночник|spine
позвоночный животное|vertebrate
позвоночный столб|spinal column
позвоночный|vertebral
позднее|later
поздний|late
поздно|late
поздравительный|complimentary
поздравление|congratulation
поздравлять с|wfelicitateon
поздравлять со|wfelicitateon
поздравлять|congratulate
позер|play-actor
позерство|play-acting
позже|later
позировать|pose
позитив|positive
позитивизм|positivism
позитивный|positive
позитрон|positron
позиционер|positioner
позиционирование|positioning
позиционировать|position
позиционный|positional
позиция|position
познавательный|cognitive
познавать|get to know
познание|cognition
позолота|gilt
позолоченный|gilded
позор|disgrace
позорить|disgrace
позориться|disgrace oneself
позорище|dusgrace
позорный столб|pillory
позорный|disgraceful
позумент|galoon
позыв|urge;desire
позывной сигнал|calling signal
позывной|call sign
поименно|by name
поименный голосование|roll-call vote
поименованный|named
поименовать|call;name
поимка|catching
поинт|pointe
поинтересоваться|show an interest
поиск вслепую|blind search
поиск информации|record retrieval
поиск неисправностей|troubleshooting
поиск цели|aiming
поиск|searchingЧ[Р]for
поиски|quest
поисковый группа|search party
поисковый|search
поистине|verily
поить|give to drink
пойло|hogwash;swill
пойма|flood plain
поймать в ловушку|entrap
пойнтер|pointer
пока еще|so far;thus far
пока|while;until;beforeyet;bye
показ мод|fashion show
показ товара|display of goods
показ|show;g)showing
показание|evidence
показанный|shown
показатель конкурентоспособности|wrate of competitiveness
показатель скорости ветра|windsock
показатель|factor
показательный суд|show trial
показательный|significant
показной|showy
показуха|show
показывать в|wshowin
показывать во|wshowin
показывать по телевидению|televise
показывать|show
показываться|appear
покаламбурить|pun
покалеченный|mutilated
покалечить|maim
покалывать|prick
покалякать|chatter
покамест|while
покатость|slope
покатываться со смеху|roar with laughter
покатываться|roll
покатый|sloping
покачивать|rock slightly
покачнуться|lurch
покашливать|have a slight cough
покашлять|cough
покаяние|confession
покаянный вид|penitent look
покаянный|penitent
поквартально|quarterly
поквартальный|quarterly
поквитаться|be quits
покер|poker
покет|pocket
покидать страну|wleave the country
покидать|abandon;leave
покладистый|amenable
поклажа|load
поклеп|slander
поклон|bow
поклонение|worship
поклонник|admirer
поклонница|admirer
поклоняться|worship
покоиться|rest
покой|quietness
покойник|decedent
покойницкая|mortuary
покойный|calm
поколебать доверие|wshatter confidence
поколение|generation
покомпонентно|componentwise
покончить с собой|commit suicide
покончить с|wbe throughwith
покончить со|wbe throughwith
покончить|finish
покорение|conquest
покоритель сердец|lady-killer
покоритель|conqueror
покорно|submissively
покорность|submissiveness
покорный|obedient
по-королевски|kingly
покорять|conquer
покос|meadow
покрасневший лицо|flush in the face
покрикивать|shout
покров кожный|skin
покров ледниковый|icecap
покров облачный|cloud cover
покров почвенный|topsoil
покров снежный|blanket of snow
покров|cover
покровитель|protector
покровительственный|protective
покровительство|protection
покровительствовать|protect
покрой|cut
покрываемость|coverage
покрывало|coverlet
покрывать металлом|metallize
покрывать обязательства|wmeet obligations
покрывать расходы|wcover expenses
покрывать сахаром|sugar-coat
покрывать убытки|wmeet damage
покрывать|cover
покрывающий|covering
покрытие|covering;coating
покрытый инеем|frosted
покрытый чернилами|inky
покрытый|coated
покрышка|covering
покуда|while
покупатель|buyer
покупательный способность|purchasing power
покупательный|purchasing
покупательский спрос|purchase requirement
покупательский|buyer's
покупать на аукционе|wbuy by auction
покупать на срок|wbuy ahead
покупать по дешевой цене|wbuy cheap
покупать с будущей поставкой|wbuy for future delivery
покупать|buy
покупка автомобилей|car buying
покупка в кредит|wpurchase on credit
покупка в рассрочку|instalment buying
покупка за наличные|cash buying
покупка на вес|wpurchase by weight
покупка по образцам|wpurchase by sample
покупка со склада|wpurchase from stock
покупка|buying;purchase
покупной цена|first price
покупной|purchase
покурить|have a smoke
покушаться|attempt
покушение|attempt
пол-|half
пол|floor;hmbn)sex;paul
пола|flap
полагать|suppose
полагаться ~ на|wrely~upon
полагаться на|wrelyon
полагаться|rely on
поландар|polandar
полвека|half a century
полдень|afternoon;midday
полдневный|midday
полдник|mid-afternoon snack
полдороги|hal-fway
пол-дюжины|half dozen
полдюжины|half-dozen
поле боя|battlefield
поле зрения|field of vision
поле конечных размеров|finite field
поле микрокоманды|microfield
поле событий|wfield of events
поле|field;margin
полевка|vole
полеводство|field crop farming
полевой бинокль|field glasses
полевой мышь|field mouse
полевой шпат|feldspar
полевой эффект|field effect
полевой|field
полегоньку|little by little
полезно|useful;healthy
полезность|usefulness
полезный время|productive time
полезный нагрузка|service load
полезный|useful
полемизировать|engage in polemics
полемика|polemics
полемист|polemicist
полемический|polemical
поленница|stack of logs
полено|log
полесье|marshy woodlands
полет фантазии|wflight of fantasy
полет|flight
полетный палуба|flight deck
полетный|flight
полечь|fall
ползком|by crawling
ползти|creep
ползун|crawler
ползунковый переключатель|slide switch
ползунковый|slide
ползунок|crawler
ползучий растение|creeper
ползучий|creeping
поли|poly
полиамид|polyamides
полиандрия|polyandry
поливать|water
поливка|watering
поливочный|watering
полигамия|polygamy
полигамный|polygamous
полиглот|polyglot
полигон|firing range
полиграфический|polygraphic
полиграфия|printing
поликарбонат|polycarbonate
поликлиника|polyclinic
полимер|polymer
полимерный|polymeric
полиморфный|polymorphic
полинезиец|polynesian
полинезийский|polynesian
полинезия|polynesia
полином|multinomial
полиномиальный|polynomial
полинявший|washed-out
полинялый|faded
полиомиелит|poliomyelitis
полип|polyp
полированный|polished
полировать|polish
полировка|waxing
полировочный|polishing
полировщик|polisher
полис|cont)insr)policy
полисемантический|multiple-meaning
полисмен|policeman
полистирол|polystyrene
полисульфид|polysulphides
полисульфон|polysulphones
политбюро|politburo
политеизм|polytheism
политеист|polytheist
политеистический|polytheistic
политехникум|polytechnic school
политехнический|pollytechnic
политзаключенный|political prisoner
политик|politician
политика кнута и пряника|carrot and stick
политика цен|pricing policy
политика|policy
политикан|politician
политический деятель|politician
политический заключенный|political prisoner
политический убежище|political asylum
политический|political
политичный|politic
политрук|political instructor
политура|polish
полицейский значок|police shield
полицейский машина|police car
полицейский офицер|police officer
полицейский участок|police station
полицейский|police;bobby;cop
полиция|police body
полишинель|pnch
полиэкранный изображение|multiimage
полиэкранный режим|multiwindowing
полиэкранный|multiwindow
полиэстр|polyester
полиэстровый|polyester
полиэтилен|polyethylene
полиэтиленовый|polyethylene
полиэфир|polyester
полиэфирный|polyester
полк|regiment
полка|shelf;berth(в вагоне)
полковник|colonel
полководец|milinary leader
полковой|regiment
полна|packed
полнеть|get fat
полнить|make someone look fat
полно|packed
полновесный|full-weight
полновластный|absolute
полноводный|full-flowing
полноводье|high water
полногрудый|buxom
полнокровие|plethora
полнокровный|full-blooded
полнолуние|full moon
полномасштабный|full-scale
полнометражный|full-length
полномочие|authority
полномочный власть|regulatory authority
полномочный представитель|plenipotentiary
полномочный|plenipotentiary
полноправие|full rights
полноправный член|full member
полноправный|enjoying full rights
полноразмерный|full-size
полностраничный|full-page
полностью не отдающий себе отчета|half-conscious
полностью съемный|free access-type
полностью|completely
полнота выборки|recall ratio
полнота|fullness
полноценный|full-fledged
полночь|midnight
полны|packed
полный адресный пространство|moby
полный блокада|strong lockout
полный доверие|absolute trust
полный заземление|dead earth
полный занятость|full employment
полный износ|wear-out
полный картина|total picture
полный комплект|full complement
полный контроль за|fullcontrolof
полный мощность|aggregate capacity
полный невозможность|blank impossibility
полный обследование|overbroad test
полный основание|just cause
полный пренебрежение|defiance
полный приемка|complete acceptance
полный рабочий день|full time
полный размах|peak-to-peak
полный раскаяния|remorseful
полный событий|eventful
полный сожаления|regretful
полный сопротивление|impedance
полный такт работы|complete operation
полный текст|full-text
полный|full;complete
полным ходом|apace
поло|polo
половик|doormat
половина земного шара|halfway around the world
половина количества|half in quantity
половина суммы|half in amount
половина|half
половинный нота|half-note
половинчатый|halfway
половица|floorboard
половодье|high water
половой бессилие|impotence
половой зрелость|puberty
половой|sexual
полог|valance
положение иностранцев в стране|alienism
положение лежа|prone position
положение плода|fetal position
положение|position
положенный|prescribed
положено|as one should
положительно|positively
положительный ответ|positive response
положительный решение|satisfactory conclusuon
положительный|positive
положить конец|wput an end
положить начало|initiate
полоз|runner
поломка из-за внешних причин|external breakdown
поломка|breakage
поломойка|charwoman
полон|packed
полонез|polonaise
полоний|polonium
полоса пропускания|passband
полоса сильной жары|heat wave
полоса|band;bar;strip
полосатик|rorqual
полосатый|striped
полоска|strip
полоскание|mouthwash;rinsing
полоскательница|slop basin
полоскать горло|gargle
полоскать|rinse
полосковый линия передачи|microstrip
полосковый|strip
полость|cavity
полотенце|towel
полотер|floor-polisher
полотнище|width
полотно|linen;roadbed(дороги)
полотняный|linen
полоть|weed
полоумие|madness
полочка|ledge
полпути|partway
полслова|a word;a minute
полтинник|fifty kopecks
полтора часа|hour and a half
полтора|one and a half
полтораста|one hundred and fifty
полуавтоматический|semiautomatic
полубессознательный|semiconscious
полубог|demigod
полуботинок|oxford shoe
полувоенный|paramilitary
полувыборка|half-select
полугодие|half-year
полугодичный|semi-annual
полугодовалый|six-month-old
полугодовой|semi-annual
полуголодный|half-starved
полугруппа|semigroup
полуденный|noonday
полудрагоценный камень|semiprecious stone
полудрагоценный|semiprecious
полудуплексный|half-duplex
полузабытье|semi-consciousness
полузаказной|semicustom
полузащитник|half-back
полукольцо|semiring
полукомпиляция|semicompiling
полукровка|half-breed
полукровный|half-blooded
полукруг|semicircle
полукруглый|semicircular
полулежать|recline
полумера|half measure
полумертвый|half-dead
полумесяц|crescent(серп);half-moon
полумесячный|half amonth's
полумрак|semidarkness
полуночник|night owl
полуночничать|stay up most of night
полуночный|midnight
полуобнаженный|half-naked
полуоборот|half-turn
полуодетый|half-dressed
полуостров юкатан|yukatan peninsula
полуостров|peninsula
полуостровной|peninsular
полуотворенный|half-open;ajar
полуоткрытый|half-open;ajar
полупериод|halftime
полуприцеп|semitrailer
полупроводник|semiconductor
полупроводниковый|semiconductor
полупродукт|semi-product
полупрозрачный|translucent
полуразрушенный|dilapidated
полураспад|half-life
полусвет|dim light
полусмерть|half to death
полусоединение|semijoin
полусознательный|semiconscious
полусон|half asleep
полусонный|half asleep
полусращивание|semiprune
полустанок|way station
полусумма кратных значений|midrange
полусумма|half-sum
полутень|penumbra
полутон|halftone
полутоновой|halftone
полутранслированный|semicompiled
полутьма|semidarkness
полуфабрикат|half-finished item
полуфиксированный|semifixed
полуфинал|semifinal
полуфиналист|semifinalist
полуфинальный|semifinal
получасовой|half-hour
получатель гарантии|warrantees
получатель перевода|remittee
получатель платежа|payee
получатель|grantee;recipient
получать в счет причитающейся суммы|wreceive on account
получать визу|wget a visa
получать выгоду от|wfind accountin
получать выгоду|wreap the profit
получать деньги в банке|wdraw money from a bank
получать деньги|cash
получать доступ к|wgain accessto
получать доступ ко|wgain accessto
получать доступ|wfind way
получать зарплату|wgarner wages
получать известие от|whearfrom
получать исключительный право|obtain exclusivity
получать наличные по чеку|wchange a cheque
получать одобрение|wobtain approval
получать отказ|wberefused
получать первую премию|wgarner first prize
получать передышку|whave a breather
получать по заказу|wobtain to order
получать по чеку|wcash a check
получать поверхностное представление|wget a cursory view
получать подтверждение|wdraw confirmation
получать право контролировать|wbe given controlover
получать право контроля|wgain control
получать право|wobtain the right
получать преимущественное право|prioritize
получать преимущество|wget the better hand
получать прибыль|earn
получать признание|wobtain recognition
получать разрешение|wobtain permission
получать указания от|wbe advisedby
получать|get;receive
получаться|be
получающий сторона|receiving party
получающий|receiving
получение по чеку|cashing of check
получение|reception
полученный|received
получиться|be
получка|sum paid
полушарие|hemisphere
полушка|old small coin
полушубок|short sheepskin coat
полущутя|half in jest
полуэмпирический|semitheoretical
полцены|half-price
полчаса|half an hour
полчище|horde
полый вода|floodwaters
полый|hollow
полынный водка|absinthe
полынный|wormwood
полынь|wormwood
полынья|polynya
полыхать|blaze
польза|profit
пользование|use
пользователь|comp)user
пользовательский набор|userkit
пользовательский|user
пользоваться возможностью|wtake the opportunity
пользоваться доверием|wfind credence
пользоваться защитным программированием|antibug
пользоваться ошибочным методом|wgo on wrong lines
пользоваться предложением|wtake advantage of an offer
пользоваться преимуществом над|wtake advantageof
пользоваться преимуществом|wtake advantage
пользоваться случаем|wtake the opportunity
пользоваться спросом|wattract a following
пользоваться|use
полька|polka
польский|polish
польша|poland
полюбовный|amicable
полюс|polus
поляк|pole
поляна|glade
поляризация|polarization
поляризованный реле|differential relay
поляризованный|polarized
поляризовать|polarize
полярность|polarity
полярный звезда|north star
полярный круг|arctic circle
полярный ледяной покров|polar icecap
полярный медведь|white bear
полярный|arctic;polar
помада|pomade
помадить|pomade
помадиться|pomade
помадка|fruit candy
помазание|anoinment
помазок|shaving brush
помазывать|anoint
помаленьку|gradually
помалкивать|hold one's tongue
помарка|correction
помахивать|wave
помело|broom
поменьше|somewhat less
померанец|wild bitter orange
померанцевый цвет|orange blossom
померанцевый|orange
померзнуть|perish from the frost
помертвелый|deathly pale
поместительность|spaciousness;roominess
поместительный|spacious;roomy
поместный дворянство|landed gentry
поместный|estate
поместье|manor
помесь|mongrel
помесячно|monthly
помесячный|monthly
помет|litter
помета|mark
пометка|mark
помеха|hindrance;impediment;obstacle
помехозащищенность|noiseproof factor
помехозащищенный|noiseproof
помехоустойчивость|noise-immunity
помехоустойчивый|antinoise
помечать задним числом|backdate
помечать|mark
помеченный|labeled
помешанный|crazy
помешательство|madness
помешаться|get mad
помещать в клетку|cage
помещать объявление|winsert an advertisement
помещать|place
помещаться за столом|wfit around the table
помещаться на|wfiton
помещаться|fit
помещение бара|barroom
помещение под офисы|office facilities
помещение|premises;investment(капитала)
помещенный|put
помещик|squire
помещичий дом|manor house
помещичий|manorial
помидор|tomato
помидорный|tomato
помилование|pardon
помилованный|pardoned
помиловать|pardon
помилует|помиловать
помимо всего прочего|apart from
помимо налога|past due
помимо|aside frombesides
помин|mention
поминать добром|speak well of
поминать|remember;recall
поминки|funeral repast
поминутно|continually;constantly
поминутный|constant;continual
помирать со смеху|wdie laughing
помирать|die
помнить|remember
помногу|a lot
помножать|multiply
помогать|help
по-моему|in my opinion
помои|kitchen waste
помойка|garbage pit
помойный ведро|garbage pail
помойный яма|cesspool
помойный|garbage
помол|grind
помолвить|betroth
помолвка|betrothal
помолвленный|betrothed
помолчать|be silent
помона|pomona
поморье|coastal region
помост|podium;dais
помоченный|damp
помочи|suspenders
помощник заведующего|assistant manager
помощник министра|under-secretary
помощник|assistant
помощь|help
помпа|pomp
помпано|pompano
помпезный|extravagant;lavish
помпон|pompon
помпоно|pompono
помутнение|clouding;dimming
помыкать|order about
помысел|thought;idea
помышлять|think;contemplate
помянуть слово|mark one's word
помятый|crumpled
понадеяться|count on
понадобиться|be necessary
понапрасну|in vain
понаслышке|through hearsay
поначалу|at first
по-нашему|in our opinion
понг|pong
понд|pond
пондероза|ponderosa pine
поневоле|against one's will
понедельник|monday
понедельно|weekly
понедельный|weekly
понемногу|gradually
понесенный|incurred
понесший|incurred
пони|npony
понижать порядок|deflate
понижать|lower
понижение|reduction
пониженный|lowered
понизу|low
поникать|droop
понимание|understanding
понимать неправильно|misunderstand
понимать|understand
понификат|ponificate
понка|ponca
поножовщина|knife-fight
пономарь|sexton
понос|diarrhoea
поносить|abuse
поношение|denegration;vilification
поношенный|shabby
понт|pont
понтиак|pontiac
понтификат|pontifficate
понтон|pontoon
понтонный|pontoon
понуждать|urge
понуждение|compulsion
понукать|hurry
понурить|hang one's head
понурый|downcast
пончик|doughnut
пончо|nponcho
поныне|until now
понюшка|pinch of snuff
понятие|notion;concept
понятийный|notional
понятливый|bright;clever
понятно|understandable
понятность|intelligibility
понятный английский|plain english
понятный для компьютера|&computer understandable
понятный|comprehensible
понятой|witness
поодаль|at a distance
поодиночке|singly
поотдельности|separately
по-отдельности|separately
поочередно|alternately
поочередный|alternating
поощерение|encouragement
поощрение|encouragement
поощренный|encouraged
поощрительный|encouraging
поощрять|encourage
поп|prist
попадание|hit
попадать в беду|wmeet with disaster
попадать в затруднительное положение|wcome to grief
попадать в ловушку|wfall into a trap
попадать в руки|wfall into thehands
попадать в цель|whit the target
попадать в|wfallinto
попадать во|wfallinto
попадать по|wgetwith
попадать|get
попадаться на удочку|jump at the bait
попадаться|get
попадья|priest's wife
попарно|two by two
попахивать|smell slightly
поперек|acrossathwart
попеременно|alternately
поперечина|crossbeam;traverse
поперечник|diameter
поперечно-пленочный|cross strip
поперечный коробление|cupping
поперечный пленочный|cross-strip
поперечный сечение|cross-section
поперечный|transverse
поперхнуться|choke
попечение|charge
попечитель|trustee
попечительство|guardianship
попивать|have a little drink
попирать|violate
пописывать|write occasionally
попить|have a drink
поплавать|have a swim
поплавок|bob
поплакать|have a brief cry
поплестись|trudge along
поплин|poplin
поплиновый|poplin
поповна|priest's daughter
поповник|daisy
попозже|a little later
попойка|drinking-bout
пополам|fifty-fifty
поползень|nuthatch
поползновение|impulse;inclination
пополнение|renewing
пополнять|renew
пополудни|in the afternoon
попона|horsecloth
попортить|damage slightly
поправимый|remediable
поправка к цене|vadjustment in the price
поправка к|wamendmentto
поправка ко|wamendmentto
поправка на|wcorrectionfor
поправка|adjustment
поправление|correction
поправлять|correct
поправляться|recover
поправочный|corrective
по-прежнему|as before
попрек|critical remark
попрекать|reproach
