абажур|lampshade, shade
одноместный|one-man
однообразие|monotony
однообразный|monotonous
одноразовый|throwaway
однородный|homogeneous
односложный|monosyllabic
односторонний|one-way, unbalanced
одностронний|one-sided
одобрение|approbation, approval
одобрительно|approvingly
одобрительный|appreciative
одобрять|applaud, approve, countenance
одолеваемый|overcome
одолевать|overcome, wade
одометр|odometer
одуванчик|dandelion
одурачивать|bamboozle, hoodwink
одурманенный|befuddled, fuddled
одушевлённый|animate
ожерелье|necklace
ожесточать|brutalize
ожесточаться|harden
ожесточённо|bitterly
ожесточённость|bitterness
оживать|life
оживление|animation, excitement, revival
оживлённый|alive, breezy, brisk, buoyant, lively, upbeat
оживлять|brighten, enliven, revitalize, revive
оживляться|brighten, life, liven up, perk up, revive
ожидание|anticipation, expectation
ожидать|anticipate, await, expect
ожог|burn, sting
ожоги|third-degree burns
озабоченность|preoccupation
озабоченный|anxious, preoccupied
озаглавленный|entitled
озадаченный|bemused
озадачивать|baffle, mystify, perplex, stump
озарение|brainstorm, brainwave
озеро|lake, loch
озлобленный|embittered
озлоблять|embitter
озлобляться|nasty
ознаменование|commemoration
означать|signify
озон|ozone
озорной|impish, mischievous
озорство|mischief
оказаться|prove
оказывать|exert, extend, render
окаймлённый|rimmed
окаймлять|border, flank
океан|ocean
Океания|Oceania
океанский|ocean-going
окисляться|oxidize
окись|oxide
окказионализм|nonce word
оккупант|occupant
оккупация|occupation
окликать|hail
окно|slot, window
оковы|fetters, shackles
около|about, around, beside, ca., circa, near
окольный|circuitous
окончание|ending
окончательно|finally
окончательность|finality
окончательный|definitive
окорок|gammon
окосевший|woozy
окраины|outskirts
окрестности|surroundings
окровавленный|bloody
округ|parish, ward
округлый|rounded
окружать|circle, encircle, surround
окружённый|beleaguered
окружность|chest measurement, girth
оксид|oxide
Оксфорд|Oxford
октава|octave
октан|octane
октябрь|October
окулист|ophthalmic optician, optician
окунь|perch
окупаться|dividend, pay
окуривать|fumigate
окурок|butt, cigarette end
окутанный|cloak
окутывать|cloak
оладья|flapjack, pancake
олеандр|Oleander
оленина|venison
олень|deer
оливковый|Olive
олимпийский|Olympic
олово|tin
олух|nit, nitwit, slob, sucker
Ольстер|Ulster
ом|ohm
Оман|Oman
омар|lobster
омела|mistletoe
омерзительно|hideously
омерзительный|hideous
омлет|omelet(te)
омовение|ablutions
омолаживать|rejuvenate
он|he
она|she
ондатра|muskrat
онемение|numbness
онеметь|dumb, numb
они|they
оникс|onyx
опаздывать|late
опал|opal
опасение|apprehension
опасения|misgiving
опасливо|gingerly
опасливый|apprehensive
опасно!|danger
опасность|danger, hazard, health hazard, peril
опасный|dangerous, hazardous, perilous, tough, ugly, unsafe
опека|protective
опекун|guardian
опекунство|custodial
опера|opera
оператор|operative, operator
операции|dealings
операционная|theatre
операция|operation, transaction
опережать|forestall, lead
оперение|plumage
оперетта|operetta
оперившийся|fully fledged
оперировать|operate
оперный|operatic
опечатка|error, misprint, typing error
опилки|sawdust
описательный|descriptive
описывать|describe
опись|inventory
опиум|opium
оплакивать|bemoan, lament, regret
оплата|payment
оплаченный|paid-up
оплачиваемый|paid
оплодотворение|fertilization
оплодотворять|fertilize, impregnate
оплот|bastion
оплошность|gaffe
опоздавший|latecomer
опоздание|lateness
опознавать|identify
опознание|identification, line-up
оползень|landslide
ополчение|militia
опора|crutch, foothold, linchpin
опорожнить|bleed
опорожнять|empty
опосредованный|vicarious
опоясывать|girdle
оппозиция|opposition
оппортунизм|opportunism
оппортунист|opportunist
оправа|setting
оправдание|acquittal, justification
оправдывать|acquit, excuse, justify, vindicate, warrant
оправдываться|justify
оправляться|recover, recuperate
опрашивать|debrief, poll
определение|identification
определенно|expressly, specifically
определённый|definite, specific
определять|identify, stipulate
опреснение|desalination
опровергать|belie, disprove, explode, rebut, refute
опровержение|rebuttal
опрокидывать|upset
опрокидываться|capsize, topple
опрометчиво|foolishly, hastily, headlong, rashly
опрометчивый|foolish, hasty, ill-advised
опрос|poll
опрятно|neatly, tidily
опрятность|neatness, tidiness
опрятный|neat, orderly, smart, spruce, tidy
оптика|optics
оптимальный|optimum
оптимизм|optimism
оптимист|optimist
оптимистичный|optimistic, sanguine
оптический|optical
оптовик|wholesaler
оптовый|wholesale
оптом|bulk, wholesale
опускать|lower
опускающийся|sinking
опустошать|devastate, sack
опустошение|depopulation
опутывать|bedevil, foul
опухать|swell
опухоль|lump, swelling, tumpur
опухший|puffy, swollen
опцион|option
опылять|fertilize, pollinate
опыт|experience, test
опытный|experienced, practised
опьяневший|intoxicated
опьянение|intoxication
опьянённый|besotted, intoxicated
опять|again
оракул|oracle
оранжевый|orange
оратор|orator, speaker
оратория|oratorio
орать|bawl, holler
оргазм|orgasm
орган|gazette, organ
организация|logistics, organization, running
организм|anatomy, organism
организованный|orderly
организовывать|orchestrate
организовываться|organize
органист|organist
органический|organic
ордер|writ
ординарец|orderly
орёл|eagle
Оренбург|Orenburg
ореол|aura, halo
орех|nut, walnut
оригинальность|originality
оригинальный|novel, original
ориентир|landmark
ориентировать|orient
ориентироваться|bearing, orientate
оркестр|band, orchestra
оркестрант|orchestral
оркестровать|orchestrate
оркестровый|orchestral
орляк|bracken
орнамент|motif, ornament
орнитолог|ornithologist
орнитология|ornithology
орошать|irrigate
ортодоксальный|orthodox
ортопед|podiatrist
ортопедический|orthopaedic
ортопедия|podiatry
орудие|tool
орудовать|ply
оружейный|ordnance
оружие|ammunition, weapon
орхидея|orchid
оса|wasp
осадки|precipitation, rainfall
осадок|residue, sediment
осадочный|sedimentary
осаждать|besiege, mob, plague, siege
осаждённый|beleaguered
осанка|deportment, posture
осваивать|reclaim
осведомитель|informer
освежать|refresh
освежающий|refreshing
освещать|flash, illuminate
освещение|coverage, illumination, lighting
освистывание|catcall
освистывать|boo
освобождать|liberate, loose, release, relieve, vacate
освобождение|disengagement, exemption, liberation, release, remission
освоение|reclamation
освящать|consecrate, sanctify
оседание|subsidence
оседлать|straddle
осёл|donkey, jackass
осенний|autumnal
осень|autumn
осенью|autumn
осётр|sturgeon
Оскар|Oscar
осквернять|desecrate, violate
осколок|sliver, splinter
оскорбительный|insulting, offensive, scurrilous
оскорбление|affront, injury, insult, invective, offence
оскорбленный|affronted
оскорблять|abuse
ослабевать|abate, wane, weak, weaken
ослабление|let-up, relaxation
ослабленный|impaired
ослаблять|emasculate, impair, loosen, relax, slacken, weaken
ослабляться|attenuate
ослепительный|blinding, dazzling
ослепление|blindness
ослеплять|blind
Осло|Oslo
осложнение|complication
осложнять|compound
ослышаться|mishear
осматривать|examine, inspect, view
осмеливаться|venture
осмотр|checkup, examination, inspection
осмотрительный|circumspect
основа|base, footing, foundation, warp
основание|base, basis, foundation, initiation, justification
основатель|founder
основательный|thorough
основное|essential
основной|standard
основоположники|founding fathers
основы|basics, rudiments
основывать|found
особенно|especially, notably, particularly, peculiarly, specially
особенность|feature, idiosyncrasy, mannerism, peculiarity
особняк|detached, mansion
особый|particular
осознавать|realize
осознание|awareness, realization
оспа|smallpox
оспаривать|challenge, dispute
оставаться|remain, stay
оставлять|leave, relinquish
оставшийся|left, remaining
остальные|other
останавливать|staunch, stop
останавливаться|halt, standstill, stay, stop
останки|remains
остановка|stop, stopover, stoppage
остатки|leftovers, oddments, remains, rump
остаток|remainder, remnant, residue, vestige
остеопат|osteopath
остепениться|settle
остерегаться|beware, chary, wary
остов|frame
остолбенение|stupefaction
осторожно|cautiously, tentatively
осторожность|caution, cautiousness, shyness
осторожный|cautious, guarded, tentative
остриё|cutting edge, spike
острить|quip
остров Пасхи|Easter Island
остров|enclave, island, isle
островитянин|islander
остролист|holly
острота|acuity, repartee, witticism
остроумие|wit
остроумный|facetious, witty
острый|acute, crying, exquisite, hot, keen, pointed, sharp, spicy
остряк|wit
остывать|cool
осуждающий|reproving
осуждение|condemnation, indictment, opprobrium, reflection
осунувшийся|pinched
осуществимость|feasibility, practicability
осуществимый|feasible, practicable, viable
осуществление|dispensation, realization
осуществлять|consummate, pursue, realize
ось|axis, axle, pivot
осьминог|octopus
осязание|touch
от|from, off
отапливаемый|heated
отапливать|heat
отбеливатель|bleach
отбеливать|bleach
отбивать|repel, tenderize
отбирать|select
отбой|all clear
отбор|selection
отборный|choice
отборочный|knockout
отбраковка|cull
отбрасывать|repulse, scrub
отбросы|rubbish
отваживаться|plunge, venture
отважный|valiant
отвергать|override, overrule, overturn, reject, renounce, repudiate, spurn
отверстие|aperture, opening, orifice
отвёртка|screwdriver
отвес|plumb line
отвесно|sheer
отвесный|perpendicular, sheer
ответ|answer, response
ответвление|offshoot
ответный|responsive, retaliatory
ответственно|responsibly
ответственность|liability, responsibility
ответственный|executive, high-powered, responsible
ответчик|defendant, respondent
отвечать|answer, reply, respond
отвинчивать|unscrew
отвисать|sag
отвлекать|distract
отводить|allot, avert
отвоёвывать|reclaim
отворачивать|turn
отворот|flap
отвратительно|abominably
отвратительный|abhorrent, detestable, disgusting, execrable, foul, obnoxious, repugnant, repulsive, revolting, unspeakable
отвратный|damnable
отвращение|horror, repugnance, repulsion, revulsion
отвязывать|untie
отгадывать|guess
отгонять|shoo, whisk
отдавать|give
отдаваться|espouse, vibrate
отдалённо|remotely
отдалённость|detachment, remoteness
отдалённый|outlying, remote
отдаляться|distance
отдача|kick
отдающий|redolent
отделанный|finished
отделение|compartment, pocket
отделимый|separable
отделка|facing
отделывать|decorate, trim
отдельно|individually, separately
отдельный|individual, isolated, separate, unrelated
отделять|divorce
отделяться|secede
отдых|recreation, relaxation, rest
отдышаться|breath
отец|father
отеческий|avuncular
отечественный|home-grown
отечество|fatherland
отживший|outdated
отжимание|push-up
отзыв|feedback, recall
отзывать|recall
отзывчивый|responsive
отказ|refusal, renunciation, waiver, withdrawal
отказник|refusenik
отказывать|fail
отказываться|refuse
откидывать|toss
откидываться|recline
откидывающийся|reclining
откладывать|postpone, save, saving
отклеиваться|unstuck
отклонение|deviation, rejection
отклонять|reject
отклоняться|deviate
отключённо|off-line
откос|escarpment
откровение|eye-opener, revelation
откровенно|frankly
откровенность|frankness
откровенный|explicit, frank, outspoken, overt, professed
открывалка|opener
открывать|inaugurate, reveal, throw, uncover, unveil
открываться|open
открытие|inauguration, reopening, revelation
открытка|postcard
открыто|openly
открытость|openness
открытый|avowed, exposed, on, open, open-air, open-ended, open-minded, outdoor, outright, revealing
откупоривать|uncork
отлаживать|debug
отлив|ebb tide
отливать|ebb
отличать|identify
отличаться|differ, distinguish, excel
отличительный|distinguishing
отличия|insignia
отличный|distinct
отлучаться|absent
отмена|abolition, annulment, withdrawal
отменный|first-rate
отменять|abolish, countermand, overrule, quash, repeal, rescind, revoke, waive
отмерять|mete out
отметка|endorsement, mark
отмокать|soak
отмывать|launder
отмычка|passkey, skeleton key
относительно|comparatively, concerning, regard, regarding, relating to, relatively
относительный|relative
отношение|attitude, bearing, relation
отношения|relationship
отопление|heating
отпечаток|impression, imprint, print
отпечатывать|impress
отпирать|unlock
отплачивать|reciprocate, retaliate
отплывать|sail
отправитель|sender, shipper
отправление|start
отправлять|administer, consign, dispatch
отправляться|sally forth
отпрыск|offspring
отпуск|holiday, hols, vacation
отпускать|let
отпускные|holiday pay
отпущение|remission
отпущенный|tempered
отрабатывать|practise
отравление|poisoning
отравлять|poison
отражатель|reflector
отражать|mirror, parry, repulse
отражение|image, reflection
отращивать|grow
отрезать|lop off
отрезвляющий|chastening
отрекаться|recant
отремонтированный|reconditioned
отречение|renunciation
отрешённость|aloofness
отрешённый|aloof
отрицание|negation, negative
отрицательная|negative equity
отрицательный|untoward
отрицать|disclaim, gainsay
отродье|brat
отруби|bran
отрывистый|brisk, staccato
отрывной|loose-leaf
отрывок|excerpt, extract, passage
отрывочный|fragmentary, patchy
отрыгивать|burp
отряд|detachment, party
отсеивать|eliminate
отсек|module
отскакивать|bounce
отскок|bounce
отсоветовать|advise
отсрочивать|defer
отсрочка|postponement, reprieve
отставать|lose, peel
отставка|resignation
отставший|straggler
отсталый|backward, subnormal
отстранение|removal
отступать|digress, retreat, sidestep, yield
отступление|digression, pullback
отсутствие|absence, lack
отсутствующий|absentee, faraway, vacant
Оттава|Ottawa
оттаивать|thaw
отталкивать|repel, repulse
отталкивающий|repellent
оттачивать|hone
оттенок|shade, tint, undertone
оттепель|thaw
оттискивать|stamp
отточенный|finished, polished
оттягивание|procrastination
оттягивать|procrastinate
отупение|stupefaction
отходить|come
отходы|waste
отцовский|paternal
отцовство|fatherhood, parenthood, paternity
отчаяние|desperation
отчаянно|frantically
отчаянный|last-ditch
отчёт|account
отчётливо|vividly
отчётливый|pronounced, vivid
отчётность|accountability
отчим|stepfather
отчитывать|chastise
отчуждение|alienation, estrangement
отчуждённый|estranged
отшельник|hermit
отъявленный|arrant, habitual, out-and-out
отыскивать|retrieve
офис|office
офицер|officer
официально|officially
официальность|formality
официальный|formal
официант|waiter
официантка|waitress
оформление|artwork
оформлять|formalize, shape
офтальмолог|ophthalmologist
офтальмологический|ophthalmic
охапка|armful
охватываемый|male
охватывать|encompass, engulf, span, straddle
охватывающий|female
охваченный|overcome
охлаждать|chill
охлаждение|refrigeration
охота|blood sport, hunt, hunting, shoot, shooting
охотник|hunter
охотно|readily, willingly
охрана|guard
охранник|security guard
охранять|guard, safeguard
охровый|ochre
оценивать|appraise, assess, evaluate, price, rate, value, view
оценка|appraisal, assessment, estimate, estimation, grade, survey, valuation
оценщик|estimator, valuer
оцепеневший|petrified
оцепенение|numbness, torpor
очаг|hearth
очарование|fascination, glamour
очаровательный|charming, fascinating, glamorous
очаровывать|charm, enchant, entrance, fascinate
очевидно|evidently, obviously, patently
очевидный|apparent, obvious, visible
очень|greatly, higly, really, violently
очередь|line, line-up, queue, turn
очерк|essay, profile
очернять|aspersions, besmirch
очертания|outline
очерчивать|delineate
очистить|rifle
очистка|evacuation, purification
очистки|peelings
очищать|evacuate, purge, purify, refine, scrape
очищенный|refined
очки|glass, specs
очковтирательство|eyewash, hocus-pocus
ошеломительный|stunning
ошеломлённый|dazed, dumbfounded
ошеломленный|nonplussed
ошеломлять|poleaxe, stun
ошибаться|mistaken
ошибка|bug, error, inaccuracy, slip-up
ошибочно|mistakenly
ошибочный|erroneous, misguided, mistaken
ошкуривать|sand
ошпаривать|scald
ощупывать|explore
ощутимый|palpable, perceptible, tangible
ощущение|feeling, perception, sensation
павильон|pavilion
павлин|peacock
пагода|pagoda
пагубный|malign, pernicious, self-defeating
падаль|carrion
паданец|windfall
падать|fall, slacken, tumble
падение|fall
падре|padre
падчерица|stepchild, stepdaughter
паж|page
паз|slot
пазуха|sinus
паинька|goody-goody
пакет|bag, bagful, package, packet, poly bag, polythene bag
пакетик|carrier bag, sachet
Пакистан|Pakistan
пакистанец|Pakistani
паковать|pack, package
пакт|pact
палантин|stole
палата|ward
палатка|tent
палач|executioner, hangman
палеонтология|palaeontology
Палестина|Palestine
палестинец|Palestinian
палец|finger, toe
палитра|palette
палить|blaze, singe
палка|stick
паломничество|pilgrimage
палочка|stick
палочки|chopsticks
палтус|halibut
пальма|palm
пальто|coat, overcoat
палящий|scorching
памфлет|pamphlet
памятник|monument
памятный|memorable
память|memory, recall, remembrance, storage
Панама|Panama
панама|panama
панамец|Panamanian
панацея|cure-all, panacea
пандус|ramp
панель|console, fascia, panel
паникёр|alarmist, scaremonger
паниковать|panic
панихида|funeral service, requiem
панический|panicky
панк|punk
панорама|panorama
панорамный|panoramic
пансион|boarding house, guesthouse
пантера|panther
пантомима|mime
панущий|redolent
папа|dad, pa
папка|file, folder, portfolio
папоротник|fern
папочка|dad
папский|papal
папство|papacy
пар|vapour, water vapour
пара|couple, pair, twosome
парабола|parabola
парагваец|Paraguayan
Парагвай|Paraguay
параграф|paragraph
парадокс|paradox
парадоксальный|paradoxical
паразит|parasite, sponger
паразиты|vermin
парализованный|paralytic
парализовать|paralyse
паралич|paralysis
параллель|parallel
параллельный|parallel
парамедик|paramedic
параметр|default option, parameter
парами|two
параноидный|paranoid
параноический|paranoid
паранойя|paranoia
парапет|parapet
парапсихология|parapsychology
парашют|parachute
парашютист|parachutist
паренхима|pith
парень|bloke, fellow, guy, lad, partner
пареньm|chap
пари|bet, betting, sweepstake, wager
Париж|Paris
парижанин|Parisian
парик|toupee, wig
парикмахер|barber, hairdresser
парикмахерская|hairdresser's
парировать|parry
паритет|parity
парить|hover
парк|fleet, garden
Паркинсона|Parkinson's
паркование|parking
парковаться|park
парламент|parliament
парламентский|parliamentary
пароварка|steamer
паровоз|steam engine
паровой|fallow
пародировать|mimic, parody
пародия|burlesque, send-up, skit, spoof, travesty
пароксизм|paroxysm
паромщик|ferryman
пароход|steamer
партер|orchestra, stall
партизан|guerrilla, partisan
партийный|party
партитура|score
партия|batch, consignment, lot, part, party, round, shipment
партнёр|co-star
партнёрство|partnership
парусиновый|canvas
паршивый|grotty, lousy, mangy
пары|doubles
пасквиль|lampoon
паспорт|passport
пассаж|arcade
пассажир|fare, passenger
пассат|trade wind
пассивный|inactive, passive
паста|paste, spread
пастбище|grazing, pasture
пастельный|pastel
пастеризованный|pasteurized
пастернак|parsnip
пастила|pastille
пастор|parson, pastor
пасторский|pastoral
пастушка|shepherdess
пасхальный|Easter
пасынок|stepchild, stepson
пасьянс|patience, solitaire
пат|stalemate
патент|letters patent
патентованный|proprietary
патерналистический|paternalistic
патио|patio
патока|molasses, syrup, treacle
патолог|pathologist
патологический|pathological
патология|pathology
патриот|patriot
патриотизм|patriotism
патриотичный|patriotic
патрон|socket
патроны|ammunition
патрулирование|surveillance
патрулировать|patrol
патруль|patrol, watch
пауза|hiatus, rest
паук|spider
паутина|cobweb, spider, web
паутинка|gossamer
пафос|pathos
пах|groin
пахать|plough
пахнуть|smell
пахотный|arable
пациент|inmate
пацифист|pacifist
пачка|batch, pack, packet, wad
пачкать|dirty, smear, soil
паштет|pate
паясничать|clown
певец|singer
певчий|choirboy, chorister
пегий|piebald
педаль|brake pedal, pedal, treadle
педант|pedant
педантичный|pedantic
педиатрия|paediatrics
педофил|paedophile
педофилия|paedophilia
пейзаж|landscape, landscape painting, scenery
пекарня|bakery
пекарь|baker
Пекин|Beijing, Peking
пеликан|pelican
пемза|pumice
пена|foam, froth, scum
пенал|pencil case, writing case
Пенджаб|Punjab
пенджабец|Punjabi
пенджабский|Punjabi
пение|singing
пенистый|frothy
пениться|bubble, foam
пенициллин|penicillin
пенни|penny
пенопласт|polystyrene
пенс|penny
пенсионер|old age pensioner, pensioner
пенсионный|pensionable
пенсия|pension
Пентагон|pentagon
пентхаус|penthouse
пень|dickhead, stump
пеньюар|negligee
пепел|ash
пепельница|ashtray
пеперони|pepperoni
первенство|primacy
первичный|primal
первобытный|primeval, primitive
первое|soup course
первоклассный|crack, first-rate
первоначально|initially, originally
первооткрыватель|pioneer
первоочерёдность|precedence
первосортный|topnotch
первостепенный|overriding, paramount
первоцвет|cowslip, primrose
первый|first, inaugural, maiden
пергамент|parchment
пердение|fart
переадресовывать|redirect
перебарщивать|overboard
перебежчик|defector
перебивать|heckle, re-cover
перебранка|slanging match, squabble
перебрасывать|lob
перебрасываться|bandy
перевал|pass
переваривать|overdo
перевешивать|outweigh
перевод|interpreting, line feed, transfer, translation
переводить|interpret, reset, trace, transfer, translate
переводчик|interpreter, translator
перевозить|ferry, fly, transport
перевозка|haulage, movement, removal, shipping
перевозки|carriage
перевооружать|rearm
перевооружение|rearmament
переворачивать|invert, overturn, upend
переворачиваться|overturn
переворот|upheaval
перевоспитывать|re-educate
перевыборы|re-election
перевязывать|bandage
перевязь|sling
перегной|humus
переговоры|negotiation, talk
перегородка|bulkhead, partition
перегреваться|overheat
перегружать|overload, overwork
перегруженность|congestion
перегруженный|overstretched
перед|before, front
передавать|circulate, hand, impart, pass, recount, relay, signal, transfer, transmit
передаваться|carry
передатчик|transmitter
передача|broadcast, transfer, transmission
передвигать|move
передвигаться|travel
передвижение|movement
передвижной|travelling
переделки|alteration
переделывать|redo, rework
передерживать|overexpose
передислокация|redeployment
передислоцировать|redeploy
передний|forward, leading
передняя|antechamber
передозировка|overdose
передохнуть|pause
передразнивать|spoof
передумать|reconsider
передумывать|change
передышка|breather, breathing space, respite
переезд|moving
переезды|travelling
пережаривать|overdo
переживание|trial
переживать|outlast, outlive
переживший|survivor
пережидать|lie
пережиток|hangover
пережить|survive
перезаряжать|recharge, reload
перезаряжающийся|rechargeable
перезвон|peal
переигровка|replay
переигрывать|overact, replay
переизбрание|re-election
переизбыток|surfeit
переиздавать|reissue
переизрасходованный|overstretched
переименовывать|rename
переквалификация|retraining
переквалифицироваться|retrain
перекличка|roll call
переключатель|dip switch
переключать|switch
перекрёсток|crossroads
перелаз|stile
перелетать|flit
переливать|decant
переливающийся|shimmering
переливы|lilt
переложение|adaptation
перематывать|rewind
перемена|playtime, reversal, shift
переменить|readjust, switch
переменная|variable
переменчивый|fluid
перемешивать|jumble, muddle
перемещать|transpose
перемещаться|relocate, shift
перемещение|permutation
перемирие|armistice, truce
перенапрягаться|overreach, overtax
перенапряжение|overexertion
перенаселённость|congestion, overcrowding
перенаселённый|crowded
перенервничать|nerve
переносить|reschedule, stomach, suffer, undergo, weather
переносной|cordless
переносный|figurative
переоборудовать|refit
переодеваться|clothes, disguise
переодетый|disguise
переоценивать|overestimate, overrate
переоценка|reappraisal, revaluation
перепалка|exchange
перепечатывать|reprint
переписывать|overwrite, redraft, rewrite
перепись|census
переплёт|binding
переплетать|entwine
переплетаться|intertwine
переплывать|swim
переподготовка|retraining
переполненный|brimful, overcrowded
переполнившийся|swollen
переполнять|overwhelm
перепонка|web
перепончатый|webbed
перепроверять|crosscheck, double-check
перепродавать|resell
перепродажа|resale
перепроизводство|overproduction
перепрыгивать|vault
перерабатывать|reclaim, recycle, revise
перераспределение|redeployment
перераспределять|reallocate, redeploy, redistribute
перерастать|outgrow
перерасходовать|overspend
перерезать|sever
перерыв|adjournment, interlude, intermission, interval, pause, recess, tea break
перерыть|ransack
пересадка|graft
пересаживать|graft, implant, transplant
пересекать|crisscross, intersect, traverse
переселенец|migrant
переселять|rehouse
пересечение|intersection, junction
пересечённый|rough
пересиливать|overpower
пересказывать|relate
пересматривать|amend, redefine, re-examine, rethink, review, revise
пересмешник|mockingbird
пересмотр|review
переставлять|rearrange
перестановка|permutation
перестановки|reshuffle
перестраивать|realign, rebuild, reconstruct, redevelop, reorder, restructure
перестройка|reconstruction, redevelopment
пересчитывать|re-count
пересылать|remit
перетряска|shake-out
переулки|street
переулок|alley, lane, side street
переутомлённый|overwrought
переутомляться|overwork
переформатировать|reformat
перефразировать|paraphrase, reword
перехват|interception
перехватывать|grab, intercept
перехитрить|outmanoeuvre, outsmart, outwit
переход|changeover, crosswalk, transfer, transition, wordwrap
переходный|transitional, transitive
перечень|schedule
перечислять|detail, enumerate, list
перечница|pepper pot
перешеек|isthmus
перешёптывание|whispering
перила|banister, guardrail, handrail, rail
периметр|perimeter
перина|feather
период|period
периодически|intermittently, periodically
периодический|intermittent, periodic, periodical
перипетии|trial
перископ|periscope
перитонит|peritonitis
периферия|fringe, margin, peripheral, periphery
перламутровый|mother-of-pearl
пернициозный|pernicious
перо|nib, plume, quill
перпендикулярный|perpendicular
персик|peach
Персия|Persia
персональный|personal, personal identification number
перспектива|perspective, vista
перспективы|outlook, prospect
Перу|Peru
перуанец|Peruvian
перфокарта|punch(ed) card
перфорация|perforation
перфорировать|perforate
перхоть|dandruff
перчатка|gauntlet, glove
перчинка|peppercorn
першащий|ticklish
пески|sands
песня|song
песок|grit
песочница|sandbox, sandpit
песочный|sandy
пессимизм|pessimism
пессимист|pessimist
пессимистичный|pessimistic
пестик|pestle
пестицид|pesticide
пёстрый|chequered, gaudy, motley, speckled
песчаник|sandstone
песчаный|sandy
песчинка|grain
петарда|squib
петербургский|St Petersburg
петиция|petition
петлица|stripe
петля|loop, noose, stitch
петрушка|parsley
петух|cockerel, rooster
петь|sing
пехота|infantry
пехотинец|infantryman
печалить|sadden
печаль|sadness, sorrow
печальный|rueful, sad, sorrowful, woeful
печатание|printing
печатать|print
печатник|printer
печать|seal, stamp
печёнка|liver
печень|liver
печенье|biscuit, cookie
печь|bake, furnace, oven, stove
печься|bake
пешеходный|pedestrian
пещера|cavern
пианист|pianist
пивнушка|boozer
пиво|ale, beer
пивовар|brewer
пигмей|pygmy
пигмент|pigment
пигментация|pigmentation
пиджак|jacket
пижама|pajamas, pyjamas
пизда|cunt
пика|pike
пикантность|naughtiness
пикантный|naughty, piquant, racy
пикап|pick-up
пикетирование|picketing
пикетировать|picket
пики|spade
пикирование|nose dive
пикколо|piccolo
пиксель|pixel
пилка|nailfile
пингвин|penguin
пинта|pint
пинцет|tweezers
пипетка|dropper
пир|feast
пирамида|pyramid
пиратство|piracy
Пиренеи|Pyrenees
пиренейский|Pyrenean
пировать|feast
пирог|pie, tart
пирожное|cream cake, Danish pastry, pastry, tart
пирожок|pasty, pie
пирс|pier
пируэт|pirouette
писака|hack
писатель|author
писать|paint, pee, piss, write
писец|scribe
писк|cheep
писсуар|urinal
пистолет|automatic, gun, pistol
письмо|letter
питание|nourishment, nutrition
питательность|nutrition
питательный|nourishing, nutritious
питать|foster, nourish
питомник|nursery
питон|python
пить|drink
питьё|drinking
питьевая|bicarbonate of soda
пицца|pizza
пищеварение|digestion
пищевод|gullet, oesophagus
пиявка|leech
плавание|swimming, voyage
плавать|swim
плавить|fuse, melt, smelt
плавиться|melt
плавки|swimming trunks
плавник|driftwood, fin, flipper, jetsam
плавность|smoothness
плавный|smooth
плавучесть|buoyancy
плавучий|buoyant
плагиат|plagiarism
плагиатор|plagiarist
плазма|plasma
плакат|placard
плакать|weep
пламя|blaze, fire, flame
план|plane
планёр|glider
планета|planet
планетарий|planetarium
планирование|gliding, planning
планировать|glide, plan
планировка|layout, planning
планировщик|planner
планка|slat
планктон|plankton
плантация|plantation
пластилин|Plasticine
пластина|plate, slab
пластинки|brace
пластический|plastic
пластичный|plastic
пластмассовый|plastic
пластырь|bandaid, plaster
плата|fee, handling charges, printed circuit board
платёжеспособность|solvency
платежи|receipt
платина|platinum
платить|pay
плато|plateau
платок|scarf
платонический|platonic
платформа|platform
платье|frock, gown
плац|parade ground
плацебо|placebo
плацента|placenta
плачевно|abysmally
плачевный|abysmal, lamentable, sorry
плащ|raincoat
плебеи|plebs
плебисцит|plebiscite
плебс|plebs
плевать|spit
плеврит|pleurisy
плед|rug
плексиглас|Perspex, Plexiglas
плектр|plectrum
племенной|tribal
племя|tribe
племянник|nephew
племянница|niece
плен|captivity
плёнка|film, tape
пленник|captive
пленный|prisoner
пленять|captivate
плесень|fungus, mildew, mould
плескаться|lap, slosh, splash
плести|plait
плетение|weaving, wickerwork
плетёный|wicker
плетень|wattle
Плимут|Plymouth
плинтус|baseboard, skirting board
плита|block, cooker, slab, stove
плитка|bar, stove, tile
плиточный|tiled
пловец|swimmer
плод|fruit
плодовитый|prolific
плодородие|fertility
плодородный|fertile
плодотворный|fruitful
пломба|filling
пломбировать|fill
плоский|corny, flat
плоскогубцы|pliers
плоскость|plane, platitude
плот|raft
плотник|carpenter
плотно|tight
плотность|density
плотный|solid
плотский|carnal
плоть|flesh
плохо|badly
плохой|bad, baddy, poor
площадка|platform, playground
площадь|acreage, square
плунжер|plunger
плутоватый|roguish
Плутон|Pluto
плутоний|plutonium
плыть|boat, float
плюмаж|plume
плюс|plus
плюсквамперфект|pluperfect
плюш|plush
плющ|ivy
пневматический|pneumatic
Пномпень|Pnomh Penh
побег|escape
победа|victory
победитель|victor, winner
победный|triumphant, victorious
победоносный|victorious
побережье|seaboard
побивать|flatten, thrash
поблизости|hereabouts, locally, nearby, thereabouts
побочный|indirect
побрякушка|trinket
побудка|reveille
побуждать|induce, prompt
повар|cook
поваренная|cookbook
поведение|behaviour
